,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1501,5,1484,17,30,0,1450,21,196934.5,762.18,10.67,15.23
02,02 - Saguenay–Lac-Saint-Jean,8790,4,8602,188,263,0,8503,24,277505,3167.51,8.65,94.77
03,03 - Capitale-Nationale,21976,26,21643,333,963,0,20637,376,757803,2899.96,49.46,127.08
04,04 - Mauricie et Centre-du-Québec,12580,15,12350,230,489,0,11728,363,523331.5,2403.83,69.23,93.44
05,05 - Estrie,11152,31,10724,428,294,3,10463,395,494966.5,2253.08,79.51,59.40
06,06 - Montréal,101077,397,98225,2852,4443,2,91648,4986,2072060.5,4878.09,239.89,214.42
07,07 - Outaouais,6039,25,5641,398,157,0,5765,117,402744,1499.46,28.93,38.98
08,08 - Abitibi-Témiscamingue,770,16,737,33,7,0,713,50,147637,521.55,33.86,4.74
09,09 - Côte-Nord,350,0,335,15,3,0,343,4,89700.5,390.19,4.48,3.34
10,10 - Nord-du-Québec,86,0,84,2,0,0,86,0,13521.5,636.02,0.00,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1701,0,1682,19,45,0,1647,9,89823,1893.72,10.04,50.10
12,12 - Chaudière-Appalaches,11546,16,11284,262,281,1,10888,377,431109.5,2678.21,87.29,65.18
13,13 - Laval,23524,100,22055,1469,854,0,21764,906,444658.5,5290.35,202.88,192.06
14,14 - Lanaudière,19487,63,18775,712,483,2,18364,640,522367,3730.52,121.99,92.46
15,15 - Laurentides,15468,68,14869,599,460,0,14504,504,630238,2454.31,79.56,72.99
16,16 - Montérégie,40337,140,38675,1662,1440,5,37375,1522,1438226,2804.64,105.42,100.12
17,17 - Nunavik,40,0,38,2,0,0,40,0,14336.5,279.01,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,117,1,117,0,2,0,110,5,18507,632.19,26.84,10.81
98,Inconnu,4,0,4,0,0,0,4,0,           .,         .  ,         .  ,         .  
99,Hors Québec,245,3,240,5,0,0,238,7,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,276790,910,267564,9226,10214,13,256270,10306,8565469.5,3231.46,119.95,119.25
