Régions;Nombre de doses de vaccins administrées
01-   Bas-Saint-Laurent;6319
02 - Saguenay – Lac-Saint-Jean;9567
03 - Capitale-Nationale;27097
04 - Mauricie-et-Centre-du-Québec;13740
05 - Estrie;11075
06 - Montréal;74 119
07 - Outaouais;8791
08 - Abitibi-Témiscamingue;7333
09 - Côte-Nord;8042
10 - Nord-du-Québec;6011
11 - Gaspésie – Îles-de-la-Madeleine;7726
12 - Chaudière-Appalaches;10714
13 - Laval;9638
14 - Lanaudière;11381
15 - Laurentides;12568
16 - Montérégie;35276
17 - Nunavik;2247
18 - Terres-Cries-de-la-Baie-James;9438
Inconnu;1250
Total;272 332
