Régions;Nombre de doses de vaccins administrées
01-   Bas-Saint-Laurent;12117
02 - Saguenay – Lac-Saint-Jean;14227
03 - Capitale-Nationale;41964
04 - Mauricie-et-Centre-du-Québec;25693
05 - Estrie;21166
06 - Montréal;113 860
07 - Outaouais;13292
08 - Abitibi-Témiscamingue;10120
09 - Côte-Nord;17 607
10 - Nord-du-Québec;8093
11 - Gaspésie – Îles-de-la-Madeleine;9890
12 - Chaudière-Appalaches;20006
13 - Laval;16919
14 - Lanaudière;21660
15 - Laurentides;21203
16 - Montérégie;54755
17 - Nunavik;4616
18 - Terres-Cries-de-la-Baie-James;10114
Inconnu;1513
Total;438 815
