Regions;Number of administered doses of the vaccine
01-   Bas-Saint-Laurent;2534
02 - Saguenay – Lac-Saint-Jean;3767
03 - Capitale-Nationale;13734
04 - Mauricie-et-Centre-du-Québec;5905
05 - Estrie;5052
06 - Montréal;31669
07 - Outaouais;3637
08 - Abitibi-Témiscamingue;2225
09 - Côte-Nord;2144
10 - Nord-du-Québec;106
11 - Gaspésie – Îles-de-la-Madeleine;2466
11 - Îles-de-la-Madeleine;391
12 - Chaudière-Appalaches;5398
13 - Laval;5839
14 - Lanaudière;4706
15 - Laurentides;6394
16 - Montérégie;17628
18 - Terres-Cries-de-la-Baie-James;1248
Opitciwan;550
Wemotaci;311
Total;115704
