Régions sociosanitaires;2021-06-27;2021-06-28;2021-06-29;2021-06-30;2021-07-01;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;0;0;2;ND;0;3 957
02 - Saguenay – Lac-Saint-Jean;1;0;1;ND;2;11 018
03 - Capitale-Nationale;2;5;3;ND;12;32 780
04 - Mauricie-et-Centre-du-Québec;2;2;2;ND;2;15 189
05 - Estrie;1;1;2;ND;1;14 891
06 - Montréal;31;29;56;ND;28;132 776
07 - Outaouais;5;6;9;ND;5;12 524
08 - Abitibi-Témiscamingue;0;0;0;ND;0;1 146
09 - Côte-Nord;0;0;0;ND;0;574
10 - Nord-du-Québec;0;0;0;ND;0;109
11 - Gaspésie – Îles-de-la-Madeleine;0;0;2;ND;0;2 063
12 - Chaudière-Appalaches;1;2;3;ND;0;19 270
13 - Laval;11;7;23;ND;6;31 645
14 - Lanaudière;8;5;9;ND;0;24 044
15 - Laurentides;4;1;4;ND;-1;20 989
16 - Montérégie;8;13;10;ND;13;51 401
17 - Nunavik;0;0;0;ND;0;47
18 - Terres-Cries-de-la-Baie-James;0;0;0;ND;0;119
Hors Québec;2;0;0;ND;1;473
Région à déterminer;0;0;0;ND;0;4
Total;76;71;126;ND;69;375 019
