Groupe d'âge;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
0-4 ans;429;1,4;390,6;0;
5-9 ans;396;1,3;368,1;0;
10-19 ans;1412;4,6;709,9;0;
20-29 ans;4586;14,8;1408,6;< 5;n.p.
30-39 ans;4171;13,5;1270,8;< 5;n.p.
40-49 ans;4224;13,7;1521,6;15;*5,4
50-59 ans;3756;12,1;1464,3;69;26,9
60-69 ans;2566;8,3;1186,1;224;103,5
70-79 ans;2479;8;1715,5;594;411
80 ans et +;6914;22,4;6873,4;2567;2551,9
Manquant;88;;;;
Total;31021;;1501,7;3476;168,3
