RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.617.2,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,173,,,4,177,,,,
02 - Saguenay–Lac-Saint-Jean,124,,2,6,132,,,,
03 - Capitale-Nationale,650,5,12,114,781,,,,
04 - Mauricie et Centre-du-Québec,117,,1,49,167,,,,
05 - Estrie,99,,19,51,169,,,,
06 - Montréal,3359,138,280,785,4562,,,,
07 - Outaouais,496,16,35,67,614,,,,
08 - Abitibi-Témiscamingue,,177,,6,183,,,,
09 - Côte-Nord,11,,,3,14,,,,
10 - Nord-du-Québec,,1,,1,2,,,,
11 - Gaspésie–Îles-de-la-Madeleine,8,,,8,16,,,,
12 - Chaudière-Appalaches,570,1,11,15,597,,,,
13 - Laval,451,13,24,202,690,,,,
14 - Lanaudière,308,33,15,86,442,,,,
15 - Laurentides,512,32,56,114,714,,,,
16 - Montérégie,372,24,157,360,913,,,,
Inconnu,,1,,4,5,,,,
Hors Québec,51,10,6,89,156,,,,
Ensemble du Québec,7301,451,618,1964,10334,,,,
