,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,12360,66,12321,39,83,0,11094,1183,197738.33333,6250.68,598.49,41.97,76
02,02 - Saguenay-Lac-Saint-Jean,21422,103,21063,359,315,0,19814,1293,278600,7689.16,464.11,113.07,104
03,03 - Capitale-Nationale,65934,323,65569,365,1272,0,59804,4858,761103.66667,8662.95,633.72,167.13,343
04,04 - Mauricie et Centre-du-Québec,43723,202,43485,238,767,6,39560,3396,527666.66667,8286.10,640.41,145.36,230
05,05 - Estrie,38758,140,38233,525,500,0,36537,1721,502406,7714.48,338.79,99.52,157
06,06 - Montréal,269730,438,266414,3316,5199,16,255720,8811,2061667.3333,13083.10,425.35,252.17,899
07,07 - Outaouais,33166,72,32717,449,263,0,31576,1327,405378.66667,8181.49,323.87,64.88,157
08,08 - Abitibi-Témiscamingue,5916,49,5878,38,41,1,5130,745,147876.33333,4000.64,503.58,27.73,160
09,09 - Côte-Nord,3902,33,3875,27,11,0,3232,659,90082.333333,4331.59,734.93,12.21,59
10,10 - Nord-du-Québec,776,9,653,123,0,0,701,75,13383.666667,5798.11,563.74,0.00,9
11,11 - Gaspésie-Îles-de-la-Madeleine,4555,14,4519,36,50,0,4264,241,90783.333333,5017.44,265.14,55.08,24
12,12 - Chaudière-Appalaches,47802,164,47526,276,487,1,44365,2950,434525.66667,11000.96,675.72,112.08,252
13,13 - Laval,63184,82,61221,1963,1005,0,60516,1663,445993.33333,14167.03,369.46,225.34,204
14,14 - Lanaudière,59096,160,58382,714,653,4,55824,2619,530581,11137.98,487.70,123.07,243
15,15 - Laurentides,63963,221,63356,607,632,0,60940,2391,640046.66667,9993.49,368.57,98.74,340
16,16 - Montérégie,121188,288,119281,1907,1929,5,113465,5794,1452381.3333,8344.09,395.01,132.82,492
17,17 - Nunavik,2226,32,2222,4,9,0,2017,200,14619,15226.76,1344.90,61.56,30
18,18 - Terres-Cries-de-la-Baie-James,1724,28,1524,200,6,0,1498,220,18660.333333,9238.85,1159.66,32.15,52
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,2462,-1,2454,8,1,0,2408,53,.,.,.,.,7
999,Ensemble du Québec,861891,2423,850696,11195,13223,33,808469,40199,8613493.6667,10006.29,463.27,153.51,3838

