No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,12,46,5,17,0,83,0.6 %
02,02 - Saguenay-Lac-Saint-Jean,0,95,109,7,95,9,315,2.4 %
03,03 - Capitale-Nationale,5,556,272,37,372,30,1272,9.6 %
04,04 - Mauricie et Centre-du-Québec,5,156,469,22,110,5,767,5.8 %
05,05 - Estrie,3,139,188,21,137,12,500,3.8 %
06,06 - Montréal,214,2789,1225,149,746,76,5199,39.3 %
07,07 - Outaouais,11,88,89,15,57,3,263,2.0 %
08,08 - Abitibi-Témiscamingue,2,6,27,1,5,0,41,0.3 %
09,09 - Côte-Nord,0,0,10,0,1,0,11,0.1 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,15,22,0,13,0,50,0.4 %
12,12 - Chaudière-Appalaches,5,136,183,9,148,6,487,3.7 %
13,13 - Laval,3,523,222,56,194,7,1005,7.6 %
14,14 - Lanaudière,3,292,200,18,136,4,653,4.9 %
15,15 - Laurentides,64,218,182,59,95,14,632,4.8 %
16,16 - Montérégie,16,669,646,67,521,10,1929,14.6 %
17,17 - Nunavik,0,0,9,0,0,0,9,0.1 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,5,0,0,1,6,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,1,0,0,0,1,0.0 %
999,Ensemble du Québec (n),334,5694,3905,466,2647,177,13223,
9999,Ensemble du Québec (%),2.5 %,43.1 %,29.5 %,3.5 %,20.0 %,1.3 %,.,100.0 %

