No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,13,70,6,18,0,110,0.8 %
02,02 - Saguenay-Lac-Saint-Jean,0,104,128,8,113,9,362,2.5 %
03,03 - Capitale-Nationale,5,600,318,37,428,34,1422,10.0 %
04,04 - Mauricie et Centre-du-Québec,5,157,585,22,114,5,888,6.2 %
05,05 - Estrie,3,149,196,26,158,14,546,3.8 %
06,06 - Montréal,215,2807,1304,157,771,79,5333,37.5 %
07,07 - Outaouais,11,93,106,15,61,3,289,2.0 %
08,08 - Abitibi-Témiscamingue,3,17,43,2,7,0,72,0.5 %
09,09 - Côte-Nord,0,0,35,0,1,0,36,0.3 %
10,10 - Nord-du-Québec,0,0,4,0,0,0,4,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,15,30,0,13,0,58,0.4 %
12,12 - Chaudière-Appalaches,5,145,225,10,165,6,556,3.9 %
13,13 - Laval,4,530,250,57,199,7,1047,7.4 %
14,14 - Lanaudière,3,312,228,21,156,5,725,5.1 %
15,15 - Laurentides,63,242,221,64,99,13,702,4.9 %
16,16 - Montérégie,16,696,693,69,553,10,2037,14.3 %
17,17 - Nunavik,0,0,10,0,0,0,10,0.1 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,13,0,0,1,14,0.1 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,2,0,0,0,2,0.0 %
999,Ensemble du Québec (n),336,5880,4461,494,2856,186,14213,
9999,Ensemble du Québec (%),2.4 %,41.4 %,31.4 %,3.5 %,20.1 %,1.3 %,.,100.0 %

