RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.617.2,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,173,0,0,2,175,,,,
02 - Saguenay–Lac-Saint-Jean,117,0,2,0,119,,,,
03 - Capitale-Nationale,649,3,12,3,667,,,,
04 - Mauricie et Centre-du-Québec,111,0,1,29,141,,,,
05 - Estrie,97,0,17,2,116,,,,
06 - Montréal,3324,137,250,107,3818,,,,
07 - Outaouais,491,16,35,13,555,,,,
08 - Abitibi-Témiscamingue,0,177,0,0,177,,,,
09 - Côte-Nord,10,0,0,0,10,,,,
10 - Nord-du-Québec,0,1,0,0,1,,,,
11 - Gaspésie–Îles-de-la-Madeleine,8,0,0,0,8,,,,
12 - Chaudière-Appalaches,554,2,12,0,568,,,,
13 - Laval,436,13,19,10,478,,,,
14 - Lanaudière,299,33,13,5,350,,,,
15 - Laurentides,489,28,51,6,574,,,,
16 - Montérégie,364,25,139,37,565,,,,
Inconnu,0,1,0,0,1,,,,
Hors Québec,51,9,3,5,68,,,,
Ensemble du Québec,7173,445,554,219,8391,,,,
