No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,3,5,4,4,6,0,22,0.3 %
2,02 - Saguenay–Lac-Saint-Jean,1,49,48,1,39,6,144,2.0 %
3,03 - Capitale-Nationale,3,266,85,4,110,9,477,6.6 %
4,04 - Mauricie et Centre-du-Québec,6,124,63,18,60,5,276,3.8 %
5,05 - Estrie,1,22,15,1,29,5,73,1.0 %
6,06 - Montréal,192,2493,383,105,450,47,3670,50.6 %
7,07 - Outaouais,6,21,16,11,27,4,85,1.2 %
8,08 - Abitibi-Témiscamingue,0,0,3,0,1,0,4,0.1 %
9,09 - Côte-Nord,0,0,2,0,0,0,2,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie–Îles-de-la-Madeleine,0,14,13,0,13,0,40,0.6 %
12,12 - Chaudière-Appalaches,5,48,35,6,46,4,144,2.0 %
13,13 - Laval,2,472,66,43,140,6,729,10.0 %
14,14 - Lanaudière,3,195,62,6,75,2,343,4.7 %
15,15 - Laurentides,59,120,58,30,61,12,340,4.7 %
16,16 - Montérégie,13,418,161,40,260,13,905,12.5 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,0,0,0,1,1,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),294,4247,1014,269,1317,114,7255,
9999,Ensemble du Québec (%),4.1 %,58.5 %,14.0 %,3.7 %,18.2 %,1.6 %,           .,100.0 %
