,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,994,14,981,13,22,0,741,231,197074,504.38,117.21,11.16
02,02 - Saguenay–Lac-Saint-Jean,5751,79,5592,159,144,2,4837,770,277632,2071.45,277.35,51.87
03,03 - Capitale-Nationale,12826,143,12569,257,477,7,10552,1797,755459,1697.78,237.87,63.14
04,04 - Mauricie et Centre-du-Québec,7472,85,7265,207,276,0,6243,953,522341,1430.48,182.45,52.84
05,05 - Estrie,5312,129,4993,319,73,3,4316,923,493163,1077.13,187.16,14.80
06,06 - Montréal,53818,514,51053,2765,3670,4,45985,4163,2065657,2605.37,201.53,177.67
07,07 - Outaouais,3723,36,3442,281,85,0,3368,270,401032,928.35,67.33,21.20
08,08 - Abitibi-Témiscamingue,288,5,256,32,4,0,264,20,147616,195.10,13.55,2.71
09,09 - Côte-Nord,213,0,200,13,2,0,202,9,90033,236.58,10.00,2.22
10,10 - Nord-du-Québec,54,0,52,2,0,0,52,2,13558,398.29,14.75,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1409,12,1390,19,40,0,1309,60,89998,1565.59,66.67,44.45
12,12 - Chaudière-Appalaches,5898,106,5657,241,144,2,5088,666,430309,1370.64,154.77,33.46
13,13 - Laval,12184,122,10958,1226,729,0,10469,986,442745,2751.92,222.70,164.65
14,14 - Lanaudière,11960,143,11258,702,343,3,10417,1200,520092,2299.59,230.73,65.95
15,15 - Laurentides,8287,73,7691,596,340,0,7518,429,626968,1321.76,68.42,54.23
16,16 - Montérégie,21236,228,19971,1265,905,3,18502,1829,1432751,1482.18,127.66,63.17
17,17 - Nunavik,29,1,27,2,0,0,28,1,14260,203.37,7.01,0.00
18,18 - Terres-Cries-de-la-Baie-James,16,0,16,0,1,0,15,0,18385,87.03,0.00,5.44
98,Inconnu,3,0,3,0,0,0,3,0,           .,         .  ,         .  ,         .  
99,Hors Québec,126,1,124,2,0,0,109,17,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,151599,1691,143498,8101,7255,24,130018,14326,8539073,1775.36,167.77,84.96
