Regroupement,Croisement,Nom,cas_tot_n,cas_0cond_n,cas_0cond_p,cas_1cond_n,cas_1cond_p,cas_2cond_n,cas_2cond_p,dec_tot_n,dec_0cond_n,dec_0cond_p,dec_1cond_n,dec_1cond_p,dec_2cond_n,dec_2cond_p
Région,RSS01,01 - Bas-Saint-Laurent,      2095,      1269,       60.6,       428,       20.4,       398,       19.0,        32,n.d.,n.d.,n.d.,n.d.,        30,       93.8
Région,RSS02,02 - Saguenay–Lac-Saint-Jean,      9347,      4713,       50.4,      2128,       22.8,      2506,       26.8,       263,        13,        4.9,        20,        7.6,       230,       87.5
Région,RSS03,03 - Capitale-Nationale,     24008,     13427,       55.9,      4678,       19.5,      5903,       24.6,      1010,        26,        2.6,        86,        8.5,       898,       88.9
Région,RSS04,04 - Mauricie et Centre-du-Québec,     12753,      7092,       55.6,      2529,       19.8,      3132,       24.6,       505,        15,        3.0,        28,        5.5,       462,       91.5
Région,RSS05,05 - Estrie,     11491,      6558,       57.1,      2265,       19.7,      2668,       23.2,       319,n.d.,n.d.,n.d.,n.d.,       287,       90.0
Région,RSS06,06 - Montréal,    102572,     58018,       56.6,     18838,       18.4,     25716,       25.1,      4538,       137,        3.0,       248,        5.5,      4153,       91.5
Région,RSS07,07 - Outaouais,      7279,      4441,       61.0,      1247,       17.1,      1591,       21.9,       172,n.d.,n.d.,n.d.,n.d.,       155,       90.1
Région,RSS08,08 - Abitibi-Témiscamingue,       979,       572,       58.4,       235,       24.0,       172,       17.6,         8,n.d.,n.d.,n.d.,n.d.,         6,       75.0
Région,RSS09,09 - Côte-Nord,       347,       221,       63.7,        71,       20.5,        55,       15.9,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS10,10 - Nord-du-Québec,        87,        48,       55.2,        15,       17.2,        24,       27.6,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS11,11 - Gaspésie–Îles-de-la-Madeleine,      1710,       846,       49.5,       365,       21.3,       499,       29.2,        45,n.d.,n.d.,n.d.,n.d.,        40,       88.9
Région,RSS12,12 - Chaudière-Appalaches,     12452,      7239,       58.1,      2472,       19.9,      2741,       22.0,       290,         8,        2.8,        25,        8.6,       257,       88.6
Région,RSS13,13 - Laval,     26127,     15691,       60.1,      5274,       20.2,      5162,       19.8,       879,        12,        1.4,        59,        6.7,       808,       91.9
Région,RSS14,14 - Lanaudière,     21192,     12555,       59.2,      4377,       20.7,      4260,       20.1,       498,        20,        4.0,        29,        5.8,       449,       90.2
Région,RSS15,15 - Laurentides,     17487,     10320,       59.0,      3478,       19.9,      3689,       21.1,       484,        23,        4.8,        33,        6.8,       428,       88.4
Région,RSS16,16 - Montérégie,     42420,     23819,       56.2,      8528,       20.1,     10073,       23.7,      1501,        49,        3.3,        96,        6.4,      1356,       90.3
Région,RSS17,17 - Nunavik,        41,        21,       51.2,         5,       12.2,        15,       36.6,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS18,18 - Terres-Cries-de-la-Baie-James,       104,        59,       56.7,        16,       15.4,        29,       27.9,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS997,Total Québec jumelés,    292517,    166931,       57.1,     56951,       19.5,     68635,       23.5,     10550,       316,        3.0,       672,        6.4,      9562,       90.6
Groupe d'âge,0_9,Moins de 10 ans,     22769,     19293,       84.7,      2835,       12.5,       641,        2.8,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,10_19,10-19 ans,     34935,     28911,       82.8,      5059,       14.5,       965,        2.8,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,20_29,20-29 ans,     40834,     32910,       80.6,      5961,       14.6,      1963,        4.8,         6,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,30_39,30-39 ans,     39558,     27491,       69.5,      8363,       21.1,      3704,        9.4,        14,n.d.,n.d.,n.d.,n.d.,        10,       71.4
Groupe d'âge,40_49,40-49 ans,     43897,     27308,       62.2,     10609,       24.2,      5980,       13.6,        37,        10,       27.0,         8,       21.6,        19,       51.4
Groupe d'âge,50_59,50-59 ans,     40102,     19861,       49.5,     11519,       28.7,      8722,       21.7,       177,        29,       16.4,        24,       13.6,       124,       70.1
Groupe d'âge,60_69,60-69 ans,     24979,      8211,       32.9,      7018,       28.1,      9750,       39.0,       621,        47,        7.6,        63,       10.1,       511,       82.3
Groupe d'âge,70_79,70-79 ans,     16591,      1996,       12.0,      3087,       18.6,     11508,       69.4,      2014,        71,        3.5,       166,        8.2,      1777,       88.2
Groupe d'âge,80_89,80-89 ans,     18016,       682,        3.8,      1773,        9.8,     15561,       86.4,      4190,        75,        1.8,       249,        5.9,      3866,       92.3
Groupe d'âge,90_,90 ans et plus,     10836,       268,        2.5,       727,        6.7,      9841,       90.8,      3489,        78,        2.2,       159,        4.6,      3252,       93.2
