"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;51912
02 - Saguenay - Lac-Saint-Jean;65291
03 - Capitale-Nationale;176739
04 - Mauricie et Centre-du-Québec;122210
05 - Estrie;103364
06 - Montréal;583315
07 - Outaouais;87644
08 - Abitibi-Témiscamingue;29730
09 - Côte-Nord;33909
10 - Nord-du-Québec;9366
11 - Gaspésie - Îles-de-la-Madeleine;34224
12 - Chaudière-Appalaches;95642
13 - Laval;103802
14 - Lanaudière;116987
15 - Laurentides;129466
16 - Montérégie;307899
17 - Nunavik;6446
18 - Terres-Cries-de-la-Baie-James;15717
Inconnue;2145
Total;2075808
