No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,13,130,7,26,0,179,1.1 %
02,02 - Saguenay-Lac-Saint-Jean,0,132,161,10,135,12,450,2.9 %
03,03 - Capitale-Nationale,7,630,394,40,474,36,1581,10.2 %
04,04 - Mauricie et Centre-du-Québec,4,157,713,22,114,5,1015,6.5 %
05,05 - Estrie,4,182,214,26,185,16,627,4.0 %
06,06 - Montréal,217,2844,1417,159,807,79,5523,35.5 %
07,07 - Outaouais,11,95,129,15,64,4,318,2.0 %
08,08 - Abitibi-Témiscamingue,3,35,50,6,18,1,113,0.7 %
09,09 - Côte-Nord,0,0,45,0,1,0,46,0.3 %
10,10 - Nord-du-Québec,0,0,4,0,0,0,4,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,16,53,0,13,0,82,0.5 %
12,12 - Chaudière-Appalaches,5,171,281,11,195,6,669,4.3 %
13,13 - Laval,5,551,283,59,215,10,1123,7.2 %
14,14 - Lanaudière,3,315,261,25,170,5,779,5.0 %
15,15 - Laurentides,63,259,262,64,108,13,769,4.9 %
16,16 - Montérégie,16,718,830,75,618,12,2269,14.6 %
17,17 - Nunavik,0,0,10,0,0,0,10,0.1 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,16,0,0,1,17,0.1 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,2,0,0,0,2,0.0 %
999,Ensemble du Québec (n),341,6118,5255,519,3143,200,15576,
9999,Ensemble du Québec (%),2.2 %,39.3 %,33.7 %,3.3 %,20.2 %,1.3 %,.,100.0 %

