Régions;Nombre de doses de vaccins administrées
01-   Bas-Saint-Laurent;6322
02 - Saguenay – Lac-Saint-Jean;10598
03 - Capitale-Nationale;32999
04 - Mauricie-et-Centre-du-Québec;17680
05 - Estrie;16798
06 - Montréal;90 189
07 - Outaouais;11788
08 - Abitibi-Témiscamingue;9691
09 - Côte-Nord;17 387
10 - Nord-du-Québec;7694
11 - Gaspésie – Îles-de-la-Madeleine;9759
12 - Chaudière-Appalaches;14007
13 - Laval;12199
14 - Lanaudière;16225
15 - Laurentides;16769
16 - Montérégie;39538
17 - Nunavik;4006
18 - Terres-Cries-de-la-Baie-James;9908
Inconnu;1343
Total;344 900
