RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000
01 - Bas-Saint-Laurent,16,0,0,0,16,622,316.06
02 - Saguenay–Lac-Saint-Jean,0,0,0,0,0,155,55.88
03 - Capitale-Nationale,153,2,0,3,158,4975,654.48
04 - Mauricie et Centre-du-Québec,6,0,0,0,6,344,65.61
05 - Estrie,35,0,0,0,35,425,85.55
06 - Montréal,1596,10,5,5,1616,6043,290.74
07 - Outaouais,174,2,0,5,181,1856,458.89
08 - Abitibi-Témiscamingue,0,131,0,0,131,217,146.96
09 - Côte-Nord,0,0,0,0,0,31,34.69
10 - Nord-du-Québec,0,0,0,0,0,0,0.00
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,26,29.00
12 - Chaudière-Appalaches,68,0,0,0,68,1150,266.26
13 - Laval,133,3,0,4,140,1324,296.48
14 - Lanaudière,112,5,0,1,118,664,126.56
15 - Laurentides,150,6,1,0,157,952,150.27
16 - Montérégie,98,3,2,0,103,1411,97.73
Inconnu,0,1,0,0,1,744,
Hors Québec,13,0,0,1,14,30,
Ensemble du Québec,2554,163,8,19,2744,20969,244.06
