"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;59240
02 - Saguenay - Lac-Saint-Jean;75606
03 - Capitale-Nationale;203153
04 - Mauricie et Centre-du-Québec;137982
05 - Estrie;116689
06 - Montréal;630254
07 - Outaouais;96803
08 - Abitibi-Témiscamingue;32933
09 - Côte-Nord;36497
10 - Nord-du-Québec;9421
11 - Gaspésie - Îles-de-la-Madeleine;38558
12 - Chaudière-Appalaches;107577
13 - Laval;112365
14 - Lanaudière;128920
15 - Laurentides;145857
16 - Montérégie;339814
17 - Nunavik;6916
18 - Terres-Cries-de-la-Baie-James;16748
Inconnue;2078
Total;2297411
