No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,3,7,4,4,6,0,24,0.3 %
2,02 - Saguenay–Lac-Saint-Jean,1,73,68,1,79,8,230,2.7 %
3,03 - Capitale-Nationale,3,391,104,9,223,17,747,8.7 %
4,04 - Mauricie et Centre-du-Québec,6,126,137,20,87,5,381,4.4 %
5,05 - Estrie,1,103,26,10,53,8,201,2.3 %
6,06 - Montréal,199,2586,488,112,520,53,3958,46.0 %
7,07 - Outaouais,7,45,31,11,35,1,130,1.5 %
8,08 - Abitibi-Témiscamingue,0,0,4,0,1,0,5,0.1 %
9,09 - Côte-Nord,0,0,3,0,0,0,3,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie–Îles-de-la-Madeleine,0,14,16,0,13,0,43,0.5 %
12,12 - Chaudière-Appalaches,5,80,49,6,58,4,202,2.3 %
13,13 - Laval,2,475,93,50,152,6,778,9.0 %
14,14 - Lanaudière,3,228,81,7,85,2,406,4.7 %
15,15 - Laurentides,59,136,68,32,67,12,374,4.3 %
16,16 - Montérégie,13,516,207,48,325,13,1122,13.0 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,1,0,0,1,2,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),302,4780,1380,310,1704,130,8606,
9999,Ensemble du Québec (%),3.5 %,55.5 %,16.0 %,3.6 %,19.8 %,1.5 %,           .,100.0 %
