Regions;Number of administered doses of the vaccine
01-   Bas-Saint-Laurent;1477
02 - Saguenay – Lac-Saint-Jean;2863
03 - Capitale-Nationale;7906
04 - Mauricie-et-Centre-du-Québec;2597
05 - Estrie;2078
06 - Montréal;17809
07 - Outaouais;2278
08 - Abitibi-Témiscamingue;1274
09 - Côte-Nord;1036
10 - Nord-du-Québec;80
11 - Gaspésie – Îles-de-la-Madeleine;1658
12 - Chaudière-Appalaches;2680
13 - Laval;2701
14 - Lanaudière;2663
15 - Laurentides;2983
16 - Montérégie;9246
18 - Terres-Cries-de-la-Baie-James;500
Opitciwan;540
Wemotaci;233
Total;62602
