RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,121,0,0,0,121,1031,523.90,89.2,90.9
02 - Saguenay–Lac-Saint-Jean,21,0,0,0,21,567,204.41,96.2,92.1
03 - Capitale-Nationale,392,2,1,16,411,7333,964.68,96.8,89.9
04 - Mauricie et Centre-du-Québec,39,0,0,0,39,1009,192.44,95.1,91.3
05 - Estrie,85,0,8,0,93,1485,298.93,96.9,93.7
06 - Montréal,2612,67,53,22,2754,10183,489.93,80,89
07 - Outaouais,375,5,7,6,393,3147,778.08,93.1,99.3
08 - Abitibi-Témiscamingue,0,146,0,0,146,238,161.18,50,100
09 - Côte-Nord,5,0,0,0,5,136,152.18,94.4,94.1
10 - Nord-du-Québec,0,0,0,0,0,2,14.83,.,.
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,85,94.82,100,65.2
12 - Chaudière-Appalaches,173,0,5,0,178,2652,614.02,93.1,87.3
13 - Laval,309,12,3,7,331,2521,564.52,84.7,94
14 - Lanaudière,226,12,2,7,247,1297,247.22,87.3,93.1
15 - Laurentides,295,8,16,8,327,1952,308.13,85.3,91.6
16 - Montérégie,172,8,41,3,224,3107,215.21,78,86.7
Inconnu,0,1,0,0,1,709,,66.7,100
Hors Québec,16,2,0,1,19,67,,100,100
Ensemble du Québec,4841,263,136,70,5310,37521,436.70,87.4,90.3
