Régions sociosanitaires;2021-05-09;2021-05-10;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;57;55;3 509
02 - Saguenay – Lac-Saint-Jean;21;19;10 493
03 - Capitale-Nationale;48;38;31 927
04 - Mauricie-et-Centre-du-Québec;26;36;14 612
05 - Estrie;43;58;13 875
06 - Montréal;189;168;127 781
07 - Outaouais;21;27;11 700
08 - Abitibi-Témiscamingue;1;2;1 105
09 - Côte-Nord;2;6;555
10 - Nord-du-Québec;4;0;99
11 - Gaspésie – Îles-de-la-Madeleine;11;7;1 916
12 - Chaudière-Appalaches;71;80;17 925
13 - Laval;61;45;30 430
14 - Lanaudière;12;15;23 370
15 - Laurentides;32;29;20 181
16 - Montérégie;62;73;49 428
17 - Nunavik;0;0;46
18 - Terres-Cries-de-la-Baie-James;0;0;119
Hors Québec;1;2;376
Région à déterminer;0;0;9
Total;662;660;359 456
