Arrondissement ou ville liée;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
Ahuntsic–Cartierville;2611;8,4;1945;359;267,4
Anjou;787;2,5;1839;51;119,2
Baie D'urfé;31;0,1;*810,9;< 5;n.p.
Beaconsfield;70;0,2;362,2;9;n.p.
Côte-des-Neiges–Notre-Dame-de-Grâce;2523;8,1;1515,1;261;156,7
Côte-Saint-Luc;592;1,9;1824,5;64;197,2
Dollard-des-Ormeaux;499;1,6;1020,5;83;169,7
Dorval;208;0,7;1095,9;50;263,4
Hampstead;72;0,2;1032,6;< 5;n.p.
Kirkland;144;0,5;714,6;23;*114,1
Lachine;728;2,3;1636,4;100;224,8
LaSalle;1350;4,3;1756,6;183;238,1
L'Île-Bizard–Sainte-Geneviève;229;0,7;1243,7;46;249,8
Mercier–Hochelaga-Maisonneuve;2615;8,4;1922,5;373;274,2
Montréal Est;49;0,2;1272,7;5;n.p.
Montréal-Nord;2783;8,9;3303,9;247;293,2
Montréal-Ouest;34;0,1;*673,3;< 5;n.p.
Mont-Royal;304;1;1499,3;77;379,8
Outremont;364;1,2;1519,6;11;*45,9
Pierrefonds–Roxboro;610;2;880,3;39;56,3
Plateau Mont-Royal;1227;3,9;1179,8;140;134,6
Pointe-Claire;248;0,8;790,3;41;130,7
Rivière-des-Prairies–Pointe-aux-Trembles;2366;7,6;2216,5;242;226,7
Rosemont–La Petite Patrie;1896;6,1;1358,3;239;171,2
Sainte-Anne-de-Bellevue;20;0,1;*403,4;< 5;n.p.
Saint-Laurent;1269;4,1;1284;120;121,4
Saint-Léonard;1317;4,2;1681,9;62;79,2
Senneville;< 5;0;n.p.;0;
Sud-Ouest;1121;3,6;1434,4;182;232,9
Verdun;1073;3,4;1549,9;159;229,7
Ville-Marie;1214;3,9;1361,4;87;97,6
Villeray–Saint-Michel–Parc-Extension;2547;8,2;1770,6;131;91,1
Westmount;215;0,7;1058,5;37;182,2
Territoire à confirmer;698;;;45;
Total à Montréal;31816;;1540,2;3477;168,3
