Groupe d'âge;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
0-4 ans;450;1,4;409,7;0;
5-9 ans;413;1,3;383,9;0;
10-19 ans;1503;4,7;755,6;0;
20-29 ans;4859;15,3;1492,4;< 5;n.p.
30-39 ans;4305;13,6;1311,6;< 5;n.p.
40-49 ans;4334;13,7;1561,3;15;*5,4
50-59 ans;3826;12,1;1491,6;69;26,9
60-69 ans;2610;8,2;1206,5;224;103,5
70-79 ans;2504;7,9;1732,8;595;411,7
80 ans et +;6925;21,8;6884,3;2567;2551,9
Manquant;87;;;;
Total;31816;;1540,2;3477;168,3
