Régions;Nombre de doses de vaccins administrées
01-   Bas-Saint-Laurent;6322
02 - Saguenay – Lac-Saint-Jean;9566
03 - Capitale-Nationale;28503
04 - Mauricie-et-Centre-du-Québec;14879
05 - Estrie;11985
06 - Montréal;78 333
07 - Outaouais;9373
08 - Abitibi-Témiscamingue;8324
09 - Côte-Nord;11660
10 - Nord-du-Québec;6650
11 - Gaspésie – Îles-de-la-Madeleine;7856
12 - Chaudière-Appalaches;11694
13 - Laval;10308
14 - Lanaudière;12131
15 - Laurentides;13565
16 - Montérégie;36335
17 - Nunavik;2944
18 - Terres-Cries-de-la-Baie-James;9545
Inconnu;980
Total;290 953
