No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,8,6,4,9,0,30,0.3 %
02,02 - Saguenay–Lac-Saint-Jean,0,94,73,3,85,8,263,2.6 %
03,03 - Capitale-Nationale,3,491,136,23,287,23,963,9.4 %
04,04 - Mauricie et Centre-du-Québec,6,149,210,21,98,5,489,4.8 %
05,05 - Estrie,3,123,50,17,87,11,291,2.9 %
06,06 - Montréal,200,2711,697,128,635,70,4441,43.5 %
07,07 - Outaouais,8,63,32,13,40,1,157,1.5 %
08,08 - Abitibi-Témiscamingue,0,0,6,0,1,0,7,0.1 %
09,09 - Côte-Nord,0,0,3,0,0,0,3,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie–Îles-de-la-Madeleine,0,15,17,0,13,0,45,0.4 %
12,12 - Chaudière-Appalaches,5,105,66,6,94,4,280,2.7 %
13,13 - Laval,2,505,121,51,169,6,854,8.4 %
14,14 - Lanaudière,3,249,108,11,108,2,481,4.7 %
15,15 - Laurentides,64,172,83,48,79,14,460,4.5 %
16,16 - Montérégie,15,600,319,59,434,8,1435,14.1 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,1,0,0,1,2,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),312,5285,1928,384,2139,153,10201,
9999,Ensemble du Québec (%),3.1 %,51.8 %,18.9 %,3.8 %,21.0 %,1.5 %,           .,100.0 %
