Groupe d'âge;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
0-4 ans;< 5;117;106,5;5705;5193,8;0;;0;
5-9 ans;33;300;278,9;8209;7630,6;0;;0;
10-19 ans;21;223;112,1;17018;8555,4;0;;0;
20-29 ans;11;191;58,7;26094;8014,6;0;;< 5;n.p.
30-39 ans;25;271;82,6;23272;7090,5;0;;7;n.p.
40-49 ans;19;272;98;22047;7942,1;< 5;n.p.;25;* 9
50-59 ans;10;143;55,8;17571;6850,3;0;;114;44,4
60-69 ans;5;94;43,5;10648;4922;< 5;n.p.;341;157,6
70-79 ans;5;76;52,6;6916;4785,9;< 5;n.p.;849;587,5
80 ans et +;< 5;76;75,6;12294;12221,8;5;n.p.;3504;3483,4
Manquant;0;0;;88;;0;;0;
Total;133;1763;85,3;149862;7254,9;10;* 0,5;4843;234,5
