No,RSS,CH,CHSLD,Domicile,RI,RPA,Autre,Inconnu,Dﾃｩcﾃｨs (n),Dﾃｩcﾃｨs (%)
1,01 - Bas-Saint-Laurent,1,, 1,,,,,2,"0,0%"
2,02 - Saguenay窶鏑ac-Saint-Jean,,21,,,,5,,26,"0,5%"
3,03 - Capitale-Nationale,2,125, 7,1,31,,,166,"3,1%"
4,04 - Mauricie et Centre-du-Quﾃｩbec,5,124, 26,12,43,,,210,"3,9%"
5,05 - Estrie,,1, 6,,15,3,,25,"0,5%"
6,06 - Montrﾃｩal,176,2299, 254,71,460,31,7,3298,"61,4%"
7,07 - Outaouais,4,18, 3,7,1,,,33,"0,6%"
8,08 - Abitibi-Tﾃｩmiscamingue,,, 3,,1,,,4,"0,1%"
9,09 - Cﾃｴte-Nord,,,,,,,,0,"0,0%"
10,10 - Nord-du-Quﾃｩbec,,,,,,,,0,"0,0%"
11,11 - Gaspﾃｩsie窶禿四es-de-la-Madeleine,,2, 2,,5,,,9,"0,2%"
12,12 - Chaudiﾃｨre-Appalaches,1,,,,7,,,8,"0,1%"
13,13 - Laval,,438, 54,41,121,5,,659,"12,3%"
14,14 - Lanaudiﾃｨre,3,110, 38,5,49,,,205,"3,8%"
15,15 - Laurentides,37,80, 9,14,34,1,,175,"3,3%"
16,16 - Montﾃｩrﾃｩgie,8,236, 89,28,188,6,,555,"10,3%"
17,17 - Nunavik,,,,,,,,0,"0,0%"
18,18 - Terres-Cries-de-la-Baie-James,,,,,,,,0,"0,0%"
99,Inconnu,,,,,,,,0,"0,0%"
999,Ensemble du Quﾃｩbec,237,3454, 492,179,955,51,7,5375,
9999,,"4,4%","64,3%","9,2%","3,3%","17,8%","0,9%","0,1%",,"100,0%"
