Régions sociosanitaires;2021-05-23;2021-05-24;2021-05-25;2021-05-26;2021-05-27;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;14;8;6;6;4;3 892
02 - Saguenay – Lac-Saint-Jean;16;11;11;7;15;10 859
03 - Capitale-Nationale;18;18;13;36;25;32 527
04 - Mauricie-et-Centre-du-Québec;14;10;12;18;17;15 050
05 - Estrie;63;31;25;40;29;14 630
06 - Montréal;160;114;96;158;131;130 851
07 - Outaouais;19;16;7;29;28;12 134
08 - Abitibi-Témiscamingue;0;0;0;1;0;1 112
09 - Côte-Nord;0;1;0;0;0;570
10 - Nord-du-Québec;0;0;0;0;0;109
11 - Gaspésie – Îles-de-la-Madeleine;0;2;4;3;4;2 004
12 - Chaudière-Appalaches;19;32;35;21;33;18 798
13 - Laval;23;18;22;29;35;31 151
14 - Lanaudière;13;15;13;12;20;23 746
15 - Laurentides;16;26;22;15;29;20 690
16 - Montérégie;57;37;40;58;47;50 601
17 - Nunavik;0;0;0;0;0;47
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;0;119
Hors Québec;1;7;2;3;2;425
Région à déterminer;0;0;0;0;0;3
Total;433;346;308;436;419;369 318
