Arrondissement ou ville liée;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
Ahuntsic–Cartierville;2500;8,5;1862,3;360;268,2
Anjou;742;2,5;1733,8;51;119,2
Baie D'urfé;31;0,1;*810,9;< 5;n.p.
Beaconsfield;62;0,2;320,8;9;n.p.
Côte-des-Neiges–Notre-Dame-de-Grâce;2390;8,2;1435,3;259;155,5
Côte-Saint-Luc;549;1,9;1691,9;64;197,2
Dollard-des-Ormeaux;455;1,6;930,5;83;169,7
Dorval;204;0,7;1074,8;50;263,4
Hampstead;61;0,2;874,8;< 5;n.p.
Kirkland;139;0,5;689,8;23;*114,1
Lachine;702;2,4;1577,9;100;224,8
LaSalle;1310;4,5;1704,6;183;238,1
L'Île-Bizard–Sainte-Geneviève;222;0,8;1205,7;46;249,8
Mercier–Hochelaga-Maisonneuve;2499;8,5;1837,2;373;274,2
Montréal Est;48;0,2;1246,8;5;n.p.
Montréal-Nord;2662;9,1;3160,2;247;293,2
Montréal-Ouest;32;0,1;*633,7;< 5;n.p.
Mont-Royal;294;1;1450;78;384,7
Outremont;283;1;1181,4;11;*45,9
Pierrefonds–Roxboro;587;2;847,1;39;56,3
Plateau Mont-Royal;1093;3,7;1051;139;133,7
Pointe-Claire;244;0,8;777,6;41;130,7
Rivière-des-Prairies–Pointe-aux-Trembles;2257;7,7;2114,4;242;226,7
Rosemont–La Petite Patrie;1782;6,1;1276,6;239;171,2
Sainte-Anne-de-Bellevue;18;0,1;*363;< 5;n.p.
Saint-Laurent;1178;4;1192;120;121,4
Saint-Léonard;1208;4,1;1542,7;62;79,2
Senneville;< 5;0;n.p.;0;
Sud-Ouest;1056;3,6;1351,2;182;232,9
Verdun;1038;3,5;1499,4;159;229,7
Ville-Marie;1084;3,7;1215,7;87;97,6
Villeray–Saint-Michel–Parc-Extension;2376;8,1;1651,7;131;91,1
Westmount;198;0,7;974,8;36;*177,2
Territoire à confirmer;655;;;44;
Total à Montréal;29961;;1450,4;3474;168,2
