No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,3,7,4,4,6,0,24,0.3 %
2,02 - Saguenay–Lac-Saint-Jean,1,66,69,1,70,7,214,2.6 %
3,03 - Capitale-Nationale,3,343,95,7,199,16,663,8.2 %
4,04 - Mauricie et Centre-du-Québec,6,124,116,20,78,5,349,4.3 %
5,05 - Estrie,2,86,21,7,42,6,164,2.0 %
6,06 - Montréal,199,2554,441,108,489,49,3840,47.3 %
7,07 - Outaouais,7,31,27,11,31,0,107,1.3 %
8,08 - Abitibi-Témiscamingue,0,0,3,0,1,0,4,0.0 %
9,09 - Côte-Nord,0,0,3,0,0,0,3,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie–Îles-de-la-Madeleine,0,14,15,0,13,0,42,0.5 %
12,12 - Chaudière-Appalaches,5,66,47,6,54,4,182,2.2 %
13,13 - Laval,2,473,77,44,147,6,749,9.2 %
14,14 - Lanaudière,3,220,73,7,84,2,389,4.8 %
15,15 - Laurentides,59,131,62,31,63,12,358,4.4 %
16,16 - Montérégie,13,481,185,48,294,13,1034,12.7 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,1,0,0,1,2,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),303,4596,1239,294,1571,121,8124,
9999,Ensemble du Québec (%),3.7 %,56.6 %,15.3 %,3.6 %,19.3 %,1.5 %,           .,100.0 %
