,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,14184,63,14145,39,98,0,13086,1000,197738.33333,7173.12,505.91,49.56,86
02,02 - Saguenay-Lac-Saint-Jean,23667,55,23308,359,330,0,22538,799,278600,8494.97,286.80,118.45,88
03,03 - Capitale-Nationale,72190,140,71825,365,1365,0,68205,2620,761103.66667,9484.91,341.78,179.34,312
04,04 - Mauricie et Centre-du-Québec,47625,80,47386,239,844,0,45181,1600,527666.66667,9025.58,301.72,159.95,145
05,05 - Estrie,41206,55,40681,525,530,0,39915,761,502406,8201.73,149.81,105.49,115
06,06 - Montréal,279013,159,275662,3351,5295,0,269994,3724,2061667.3333,13533.37,179.77,256.83,419
07,07 - Outaouais,34939,32,34494,445,283,0,33954,702,405378.66667,8618.86,171.33,69.81,86
08,08 - Abitibi-Témiscamingue,7192,24,7153,39,58,0,6752,382,147876.33333,4863.52,258.21,39.22,47
09,09 - Côte-Nord,5014,21,4987,27,24,0,4467,523,90082.333333,5566.02,583.26,26.64,46
10,10 - Nord-du-Québec,973,1,792,181,2,0,948,23,13383.666667,7270.06,172.88,14.94,5
11,11 - Gaspésie-Îles-de-la-Madeleine,5150,30,5114,36,53,0,4823,274,90783.333333,5672.85,301.44,58.38,30
12,12 - Chaudière-Appalaches,51232,70,50954,278,525,0,49239,1468,434525.66667,11790.33,336.26,120.82,170
13,13 - Laval,65408,53,63447,1961,1035,1,63569,804,445993.33333,14665.69,178.62,232.07,99
14,14 - Lanaudière,61919,31,61205,714,712,1,60048,1159,530581,11670.04,215.82,134.19,103
15,15 - Laurentides,68046,98,67439,607,684,0,65857,1505,640046.66667,10631.41,232.00,106.87,189
16,16 - Montérégie,127404,134,125499,1905,1994,0,122835,2575,1452381.3333,8772.08,175.55,137.29,320
17,17 - Nunavik,2647,17,2643,4,10,0,2483,154,14619,18106.57,1035.57,68.40,20
18,18 - Terres-Cries-de-la-Baie-James,2078,1,1860,218,12,0,2001,65,18660.333333,11135.92,342.63,64.31,4
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,2572,0,2564,8,2,1,2544,26,.,.,.,.,0
999,Ensemble du Québec,912463,1064,901161,11302,13856,3,878443,20164,8613493.6667,10593.41,232.38,160.86,2284

