"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;17482
02 - Saguenay - Lac-Saint-Jean;27361
03 - Capitale-Nationale;82085
04 - Mauricie et Centre-du-Québec;55833
05 - Estrie;44348
06 - Montréal;364911
07 - Outaouais;30636
08 - Abitibi-Témiscamingue;17255
09 - Côte-Nord;22467
10 - Nord-du-Québec;8846
11 - Gaspésie - Îles-de-la-Madeleine;16088
12 - Chaudière-Appalaches;45009
13 - Laval;54873
14 - Lanaudière;55340
15 - Laurentides;60228
16 - Montérégie;142667
17 - Nunavik;5235
18 - Terres-Cries-de-la-Baie-James;10561
Inconnue;4598
Total;1065823
