Arrondissement ou ville liée;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
Ahuntsic–Cartierville;2514;8,5;1872,7;359;267,4
Anjou;746;2,5;1743,2;51;119,2
Baie D'urfé;31;0,1;*810,9;< 5;n.p.
Beaconsfield;65;0,2;336,4;9;n.p.
Côte-des-Neiges–Notre-Dame-de-Grâce;2406;8,1;1444,9;259;155,5
Côte-Saint-Luc;557;1,9;1716,6;64;197,2
Dollard-des-Ormeaux;474;1,6;969,3;83;169,7
Dorval;205;0,7;1080,1;50;263,4
Hampstead;63;0,2;903,5;< 5;n.p.
Kirkland;140;0,5;694,8;23;*114,1
Lachine;712;2,4;1600,4;100;224,8
LaSalle;1318;4,4;1715;183;238,1
L'Île-Bizard–Sainte-Geneviève;224;0,8;1216,5;46;249,8
Mercier–Hochelaga-Maisonneuve;2518;8,5;1851,1;373;274,2
Montréal Est;48;0,2;1246,8;5;n.p.
Montréal-Nord;2687;9,1;3189,9;247;293,2
Montréal-Ouest;32;0,1;*633,7;< 5;n.p.
Mont-Royal;296;1;1459,9;78;384,7
Outremont;296;1;1235,7;11;*45,9
Pierrefonds–Roxboro;592;2;854,3;39;56,3
Plateau Mont-Royal;1116;3,8;1073,1;140;134,6
Pointe-Claire;244;0,8;777,6;41;130,7
Rivière-des-Prairies–Pointe-aux-Trembles;2273;7,7;2129,4;242;226,7
Rosemont–La Petite Patrie;1799;6,1;1288,8;239;171,2
Sainte-Anne-de-Bellevue;20;0,1;*403,4;< 5;n.p.
Saint-Laurent;1193;4;1207,1;120;121,4
Saint-Léonard;1225;4,1;1564,4;62;79,2
Senneville;< 5;0;n.p.;0;
Sud-Ouest;1069;3,6;1367,9;182;232,9
Verdun;1046;3,5;1510,9;159;229,7
Ville-Marie;1116;3,8;1251,5;87;97,6
Villeray–Saint-Michel–Parc-Extension;2396;8,1;1665,6;131;91,1
Westmount;200;0,7;984,6;36;*177,2
Territoire à confirmer;661;;;44;
Total à Montréal;30284;;1466,1;3474;168,2
