No,RSS,NoRLS,RLS,Cas,Population,Taux
1,01 - Bas-St-Laurent,0111,0111 - RLS de Kamouraska,19,20 780,"91,4"
1,01 - Bas-St-Laurent,0112,0112 - RLS de Rivière-du-Loup,30,34 800,"86,2"
1,01 - Bas-St-Laurent,0113,0113 - RLS de Témiscouata,8,19 117,"41,8"
1,01 - Bas-St-Laurent,0114,0114 - RLS des Basques,n.d.,8 529,n.d.
1,01 - Bas-St-Laurent,0115,0115 - RLS de Rimouski,21,57 630,"36,4"
1,01 - Bas-St-Laurent,0116,0116 - RLS de La Mitis,n.d.,17 978,n.d.
1,01 - Bas-St-Laurent,0117,0117 - RLS de Matane,0,20 726,"0,0"
1,01 - Bas-St-Laurent,0118,0118 - RLS de La Matapédia,n.d.,17 514,n.d.
1,01 - Bas-St-Laurent,,Total,90,197 074,"45,7"
2,02 - Saguenay – Lac-St-Jean,0211,0211 - RLS du Domaine-du-Roy,14,31 078,"45,0"
2,02 - Saguenay – Lac-St-Jean,0212,0212 - RLS de Maria-Chapdelaine,16,25 064,"63,8"
2,02 - Saguenay – Lac-St-Jean,0213,0213 - RLS de Lac-Saint-Jean-Est,45,52 298,"86,0"
2,02 - Saguenay – Lac-St-Jean,0214,0214 - RLS de Jonquière,66,67 417,"97,9"
2,02 - Saguenay – Lac-St-Jean,0215,0215 - RLS de Chicoutimi,207,79 201,"261,4"
2,02 - Saguenay – Lac-St-Jean,0216,0216 - RLS de La Baie,31,22 574,"137,3"
2,02 - Saguenay – Lac-St-Jean,,Total,380,277 632,"136,9"
3,03 - Capitale-Nationale,0311,0311 - RLS de Portneuf,76,54 895,"138,4"
3,03 - Capitale-Nationale,0312,0312 - RLS de Québec-Sud,1297,321 016,"404,0"
3,03 - Capitale-Nationale,0313,0313 - RLS de Québec-Nord,979,351 429,"278,6"
3,03 - Capitale-Nationale,0314,0314 - RLS de Charlevoix,16,28 119,"56,9"
3,03 - Capitale-Nationale,,Total,2391,755 459,"316,5"
4,04 - Mauricie-et-Centre-du-Québec,0411,0411 - RLS du Haut-Saint-Maurice,n.d.,15 020,n.d.
4,04 - Mauricie-et-Centre-du-Québec,0412,0412 - RLS de la Vallée de la Batiscan,120,25 562,"469,4"
4,04 - Mauricie-et-Centre-du-Québec,0413,0413 - RLS de Maskinongé,251,22 961,"1 093,2"
4,04 - Mauricie-et-Centre-du-Québec,0414,0414 - RLS du Centre-de-la-Mauricie,362,64 641,"560,0"
4,04 - Mauricie-et-Centre-du-Québec,0415,0415 - RLS de Trois-Rivières,953,143 422,"664,5"
4,04 - Mauricie-et-Centre-du-Québec,0416,0416 - RLS de Bécancour - Nicolet-Yamaska,64,44 619,"143,4"
4,04 - Mauricie-et-Centre-du-Québec,0417,0417 - RLS de Drummond,348,107 872,"322,6"
4,04 - Mauricie-et-Centre-du-Québec,0418,0418 - RLS d'Arthabaska - de l'Érable,50,98 244,"50,9"
4,04 - Mauricie-et-Centre-du-Québec,,Total,2172,522 341,"415,8"
5,05 - Estrie,0511,0511 - RLS de la Pommeraie,166,56 125,"295,8"
5,05 - Estrie,0512,0512 - RLS de la Haute-Yamaska,298,105 861,"281,5"
5,05 - Estrie,0513,0513 - RLS de Memphrémagog,110,52 514,"209,5"
5,05 - Estrie,0514,0514 - RLS de Coaticook,16,18 741,"85,4"
5,05 - Estrie,0515,0515 - RLS de Sherbrooke,564,170 075,"331,6"
5,05 - Estrie,0516,0516 - RLS de Val Saint-François,79,31 490,"250,9"
5,05 - Estrie,0517,0517 - RLS d'Asbestos,48,14 257,"336,7"
5,05 - Estrie,0518,0518 - RLS du Haut-Saint-François,57,22 749,"250,6"
5,05 - Estrie,0519,0519 - RLS du Granit,43,21 351,"201,4"
5,05 - Estrie,,Total,1393,493 163,"282,5"
6,06 - Montréal,0611,0611 - RLS de Pierrefonds - Lac Saint-Louis,1742,224 596,"775,6"
6,06 - Montréal,0612,0612 - RLS de Dorval - Lachine - Lasalle,2246,149 522,"1 502,1"
6,06 - Montréal,0621,0621 - RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,1460,131 424,"1 110,9"
6,06 - Montréal,0622,0622 - RLS de Côte-des-Neiges - Métro - Parc-Extension,3139,245 703,"1 277,6"
6,06 - Montréal,0631,0631 - RLS de Verdun - Côte St-Paul - St-Henri - Pointe-St-Charles,2164,166 225,"1 301,8"
6,06 - Montréal,0632,0632 - RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc,1840,161 317,"1 140,6"
6,06 - Montréal,0641,0641 - RLS du Nord de l'Île - Saint-Laurent,1971,161 894,"1 217,5"
6,06 - Montréal,0642,0642 - RLS d'Ahuntsic - Montréal-Nord,4396,172 517,"2 548,2"
6,06 - Montréal,0643,0643 - RLS de la Petite Patrie - Villeray,1116,115 485,"966,4"
6,06 - Montréal,0651,0651 - RLS de Saint-Léonard - Saint-Michel,2555,139 162,"1 836,0"
6,06 - Montréal,0652,0652 - RLS de Rivière-des-Prairies - Anjou - Montréal-Est,3946,208 717,"1 890,6"
6,06 - Montréal,0653,0653 - RLS de Hochelaga - Mercier-Ouest - Rosemont,2819,189 095,"1 490,8"
6,06 - Montréal,,Total,30284,2 065 657,"1 466,1"
7,07 - Outaouais,0711,0711 - RLS du Pontiac,5,20 152,"24,8"
7,07 - Outaouais,0712,0712 - RLS de la Vallée-de-la-Gatineau,8,20 552,"38,9"
7,07 - Outaouais,0713,0713 - RLS des Collines-de-l'Outaouais,40,38 891,"102,9"
7,07 - Outaouais,0714,0714 - RLS de Grande-Rivière - Hull - Gatineau,797,264 517,"301,3"
7,07 - Outaouais,0715,0715 - RLS de la Vallée-de-la-Lièvre et de la Petite Nation,78,56 920,"137,0"
7,07 - Outaouais,,Total,937,401 032,"233,6"
8,08 - Abitibi-Témiscamingue,0811,0811 - RLS de l'Abitibi-Ouest,13,20 528,"63,3"
8,08 - Abitibi-Témiscamingue,0812,0812 - RLS de l'Abitibi,11,24 729,"44,5"
8,08 - Abitibi-Témiscamingue,0813,0813 - RLS de Rouyn-Noranda,132,43 180,"305,7"
8,08 - Abitibi-Témiscamingue,0814,0814 - RLS de la Vallée-de-l'Or,11,43 551,"25,3"
8,08 - Abitibi-Témiscamingue,0815,0815 - RLS du Témiscaming,21,15 628,"134,4"
8,08 - Abitibi-Témiscamingue,,Total,189,147 616,"128,0"
9,09 - Côte-Nord,0911,0911 - RLS de Caniapiscau,n.d.,3 230,n.d.
