Régions sociosanitaires;2021-04-25;2021-04-26;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;29;48;2 836
02 - Saguenay – Lac-Saint-Jean;22;30;10 167
03 - Capitale-Nationale;110;111;30 782
04 - Mauricie-et-Centre-du-Québec;31;27;14 079
05 - Estrie;32;27;13 068
06 - Montréal;223;195;124 432
07 - Outaouais;50;57;11 077
08 - Abitibi-Témiscamingue;2;1;1 098
09 - Côte-Nord;6;15;507
10 - Nord-du-Québec;0;0;90
11 - Gaspésie – Îles-de-la-Madeleine;0;4;1 826
12 - Chaudière-Appalaches;82;109;16 380
13 - Laval;96;76;29 464
14 - Lanaudière;43;42;22 902
15 - Laurentides;36;51;19 560
16 - Montérégie;124;101;47 806
17 - Nunavik;0;0;46
18 - Terres-Cries-de-la-Baie-James;0;0;119
Hors Québec;3;5;354
Région à déterminer;0;0;3
Total;889;899;346 596
