"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;71432
02 - Saguenay - Lac-Saint-Jean;101747
03 - Capitale-Nationale;263181
04 - Mauricie et Centre-du-Québec;175331
05 - Estrie;160546
06 - Montréal;751946
07 - Outaouais;129655
08 - Abitibi-Témiscamingue;43822
09 - Côte-Nord;42310
10 - Nord-du-Québec;10022
11 - Gaspésie - Îles-de-la-Madeleine;45562
12 - Chaudière-Appalaches;150097
13 - Laval;139817
14 - Lanaudière;163073
15 - Laurentides;195319
16 - Montérégie;444016
17 - Nunavik;8354
18 - Terres-Cries-de-la-Baie-James;17882
Inconnue;2785
Total;2916897
