No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,9,36,4,13,0,65,0.5 %
02,02 - Saguenay-Lac-Saint-Jean,0,94,87,4,88,8,281,2.4 %
03,03 - Capitale-Nationale,4,531,228,32,328,28,1151,9.7 %
04,04 - Mauricie et Centre-du-Québec,5,154,306,22,110,5,602,5.1 %
05,05 - Estrie,3,134,134,19,123,12,425,3.6 %
06,06 - Montréal,208,2739,1040,137,710,73,4907,41.4 %
07,07 - Outaouais,11,79,64,14,53,3,224,1.9 %
08,08 - Abitibi-Témiscamingue,2,0,18,0,2,0,22,0.2 %
09,09 - Côte-Nord,0,0,4,0,1,0,5,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,15,20,0,13,0,48,0.4 %
12,12 - Chaudière-Appalaches,5,128,121,7,134,5,400,3.4 %
13,13 - Laval,2,512,195,53,188,6,956,8.1 %
14,14 - Lanaudière,3,252,158,13,124,3,553,4.7 %
15,15 - Laurentides,64,183,137,54,84,14,536,4.5 %
16,16 - Montérégie,15,626,469,62,479,9,1660,14.0 %
17,17 - Nunavik,0,0,5,0,0,0,5,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,4,0,0,1,5,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,1,0,0,0,1,0.0 %
999,Ensemble du Québec (n),325,5456,3027,421,2450,167,11846,
9999,Ensemble du Québec (%),2.7 %,46.1 %,25.6 %,3.6 %,20.7 %,1.4 %,.,100.0 %

