,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,2122,15,2103,19,31,1,1747,344,196934.5,1077.52,174.80,15.74
02,02 - Saguenay-Lac-Saint-Jean,9541,20,9334,207,265,0,9076,200,277505,3438.14,72.10,95.49
03,03 - Capitale-Nationale,25191,239,24852,339,1021,3,22382,1788,757803,3324.21,235.22,134.73
04,04 - Mauricie et Centre-du-Québec,13304,24,13071,233,508,0,12635,161,523331.5,2542.17,30.71,97.07
05,05 - Estrie,12122,25,11640,482,323,0,11593,206,494966.5,2449.05,41.47,65.26
06,06 - Montréal,117251,302,114351,2900,4629,1,109235,3387,2072060.5,5658.67,162.96,223.40
07,07 - Outaouais,8052,118,7625,427,174,0,7175,703,402744,1999.28,173.81,43.20
08,08 - Abitibi-Témiscamingue,1011,6,978,33,8,0,926,77,147637,684.79,52.15,5.42
09,09 - Côte-Nord,371,1,356,15,3,0,355,13,89700.5,413.60,14.55,3.34
10,10 - Nord-du-Québec,89,0,87,2,0,0,88,1,13521.5,658.21,7.42,0.00
11,11 - Gaspésie-Îles-de-la-Madeleine,1755,3,1736,19,45,0,1702,8,89823,1953.84,8.92,50.10
12,12 - Chaudière-Appalaches,12715,136,12446,269,291,1,11838,586,431109.5,2949.37,135.68,67.50
13,13 - Laval,27527,61,25895,1632,890,0,25932,705,444658.5,6190.59,157.87,200.15
14,14 - Lanaudière,21843,37,21132,711,502,0,20961,380,522367,4181.54,72.43,96.10
15,15 - Laurentides,18048,48,17445,603,487,2,17189,372,630238,2863.68,58.72,77.27
16,16 - Montérégie,44713,118,42825,1888,1513,1,42174,1026,1438226,3108.90,71.07,105.20
17,17 - Nunavik,46,0,44,2,0,0,46,0,14336.5,320.86,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,119,0,119,0,3,0,116,0,18507,643.00,0.00,16.21
98,Inconnu,4,0,4,0,0,0,4,0,.,.,.,.
99,Hors Québec,288,1,283,5,0,0,279,9,.,.,.,.
999,Ensemble du Québec,316112,1154,306326,9786,10693,9,295453,9966,8565469.5,3690.54,115.99,124.84

