"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;29142
02 - Saguenay - Lac-Saint-Jean;42426
03 - Capitale-Nationale;123459
04 - Mauricie et Centre-du-Québec;82076
05 - Estrie;70976
06 - Montréal;483017
07 - Outaouais;57408
08 - Abitibi-Témiscamingue;23041
09 - Côte-Nord;30121
10 - Nord-du-Québec;9019
11 - Gaspésie - Îles-de-la-Madeleine;27884
12 - Chaudière-Appalaches;64451
13 - Laval;79428
14 - Lanaudière;82843
15 - Laurentides;91786
16 - Montérégie;214011
17 - Nunavik;5704
18 - Terres-Cries-de-la-Baie-James;10918
Inconnue;1831
Total;1529541
