RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000
01 - Bas-Saint-Laurent,0,0,0,0,0,354,179.88
02 - Saguenay–Lac-Saint-Jean,0,0,0,0,0,27,9.73
03 - Capitale-Nationale,51,1,0,0,52,1909,251.14
04 - Mauricie et Centre-du-Québec,3,0,0,0,3,112,21.36
05 - Estrie,23,0,0,0,23,130,26.17
06 - Montréal,981,7,1,5,994,3695,177.78
07 - Outaouais,38,0,0,5,43,745,184.20
08 - Abitibi-Témiscamingue,0,128,0,0,128,191,129.35
09 - Côte-Nord,0,0,0,0,0,4,4.48
10 - Nord-du-Québec,0,0,0,0,0,0,0.00
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,0,0.00
12 - Chaudière-Appalaches,12,0,0,0,12,475,109.98
13 - Laval,98,3,0,1,102,837,187.43
14 - Lanaudière,58,5,0,0,63,317,60.42
15 - Laurentides,101,6,1,0,108,482,76.08
16 - Montérégie,47,3,0,0,50,614,42.53
Inconnu,0,1,0,0,1,428,
Hors Québec,12,0,0,1,13,17,
Ensemble du Québec,1424,154,2,12,1592,10337,120.31
