,,Nombre de cas confirmé,,,Nombre de décès,,,,,,Nombre d'hospitalisations,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,Nombre dans la dernière semaine CDC fermée,Total,Confirmé dans les 24 dernières heures,Nombre dans la dernière semaine CDC fermée,Population en 2023,Cas de COVID-19 par 100 000,Décès par COVID-19 par 100 000,Total,Différence dans les 24 dernières heures,Nombre dans la dernière semaine CDC fermée
01,01 - Bas-Saint-Laurent,30710,6,59,300,1,4,199471.5,.,.,2141,1,11
02,02 - Saguenay-Lac-Saint-Jean,41433,1,30,528,0,0,280734.5,.,.,2991,0,14
03,03 - Capitale-Nationale,116729,14,87,1834,2,3,765935.75,.,.,7858,3,19
04,04 - Mauricie et Centre-du-Québec,78411,5,69,1203,2,2,535227.5,.,.,6150,2,12
05,05 - Estrie,67031,4,24,872,3,5,510448.25,.,.,4957,2,11
06,06 - Montréal,364668,30,199,5838,2,5,2044355.75,.,.,24303,26,51
07,07 - Outaouais,45887,1,11,481,1,1,407054,.,.,3112,1,3
08,08 - Abitibi-Témiscamingue,14912,1,11,173,0,1,148400.5,.,.,1399,0,2
09,09 - Côte-Nord,13701,1,16,112,2,1,90467.75,.,.,1170,0,7
10,10 - Nord-du-Québec,1994,0,3,11,0,0,13363.5,.,.,108,1,0
11,11 - Gaspésie-Îles-de-la-Madeleine,14063,10,14,144,0,0,92140.75,.,.,1030,2,3
12,12 - Chaudière-Appalaches,78136,0,38,838,2,0,439816.25,.,.,4742,0,13
13,13 - Laval,84118,5,41,1163,1,1,446209,.,.,5151,2,6
14,14 - Lanaudière,86213,10,65,847,1,0,538927.25,.,.,4914,3,26
15,15 - Laurentides,101772,10,55,928,1,1,652170,.,.,6924,2,14
16,16 - Montérégie,193083,19,158,2652,3,7,1464216,.,.,15045,9,32
17,17 - Nunavik,3639,0,0,10,0,0,14677,.,.,184,0,0
18,18 - Terres-Cries-de-la-Baie-James,3117,0,1,17,0,0,18814.75,.,.,183,1,0
98,Inconnu,1275,0,3,15,0,2,.,.,.,591,1,1
99,Hors Québec,7378,0,5,0,0,0,.,.,.,0,0,0
999,Ensemble du Québec,1348270,117,889,17966,21,33,8662430,.,.,92953,56,225

