,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,880,37,867,13,20,1,670,190,197074,446.53,96.41,10.15
02,02 - Saguenay–Lac-Saint-Jean,5403,117,5247,156,133,3,4287,983,277632,1946.10,354.07,47.91
03,03 - Capitale-Nationale,12083,186,11829,254,455,9,10100,1528,755459,1599.42,202.26,60.23
04,04 - Mauricie et Centre-du-Québec,7125,93,6920,205,273,0,5931,921,522341,1364.05,176.32,52.26
05,05 - Estrie,4835,89,4519,316,66,2,4045,724,493163,980.41,146.81,13.38
06,06 - Montréal,51848,386,49088,2760,3641,13,44802,3405,2065657,2510.00,164.84,176.26
07,07 - Outaouais,3594,14,3317,277,81,0,3240,273,401032,896.19,68.07,20.20
08,08 - Abitibi-Témiscamingue,275,6,243,32,4,0,254,17,147616,186.29,11.52,2.71
09,09 - Côte-Nord,210,1,198,12,2,0,193,15,90033,233.25,16.66,2.22
10,10 - Nord-du-Québec,55,1,53,2,0,0,52,3,13558,405.66,22.13,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1384,9,1365,19,40,0,1278,66,89998,1537.81,73.33,44.45
12,12 - Chaudière-Appalaches,5529,130,5290,239,136,2,4860,533,430309,1284.89,123.86,31.61
13,13 - Laval,11688,104,10480,1208,726,0,10128,834,442745,2639.89,188.37,163.98
14,14 - Lanaudière,11470,103,10770,700,332,2,9966,1172,520092,2205.38,225.34,63.83
15,15 - Laurentides,8027,43,7432,595,337,1,7335,355,626968,1280.29,56.62,53.75
16,16 - Montérégie,20489,191,19254,1235,878,8,17907,1704,1432751,1430.05,118.93,61.28
17,17 - Nunavik,28,0,26,2,0,0,28,0,14260,196.35,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,16,0,16,0,1,0,15,0,18385,87.03,0.00,5.44
98,Inconnu,3,0,3,0,0,0,3,0,           .,         .  ,         .  ,         .  
99,Hors Québec,120,4,118,2,0,0,103,17,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,145062,1514,137035,8027,7125,41,125197,12740,8539073,1698.80,149.20,83.44
