No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,3,3,4,4,6,0,20,0.3 %
2,02 - Saguenay–Lac-Saint-Jean,1,48,43,1,34,6,133,1.9 %
3,03 - Capitale-Nationale,3,255,85,4,100,8,455,6.4 %
4,04 - Mauricie et Centre-du-Québec,6,124,63,18,57,5,273,3.8 %
5,05 - Estrie,1,18,15,1,25,6,66,0.9 %
6,06 - Montréal,191,2484,369,104,448,45,3641,51.1 %
7,07 - Outaouais,6,21,16,10,24,4,81,1.1 %
8,08 - Abitibi-Témiscamingue,0,0,3,0,1,0,4,0.1 %
9,09 - Côte-Nord,0,0,2,0,0,0,2,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie–Îles-de-la-Madeleine,0,14,13,0,13,0,40,0.6 %
12,12 - Chaudière-Appalaches,5,44,32,6,45,4,136,1.9 %
13,13 - Laval,2,472,65,43,138,6,726,10.2 %
14,14 - Lanaudière,3,190,58,6,73,2,332,4.7 %
15,15 - Laurentides,59,119,56,30,61,12,337,4.7 %
16,16 - Montérégie,13,406,156,39,251,13,878,12.3 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,0,0,0,1,1,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),293,4198,980,266,1276,112,7125,
9999,Ensemble du Québec (%),4.1 %,58.9 %,13.8 %,3.7 %,17.9 %,1.6 %,           .,100.0 %
