Régions;Nombre de doses de vaccins administrées
01-   Bas-Saint-Laurent;4 398
02 - Saguenay – Lac-Saint-Jean;7 887
03 - Capitale-Nationale;21 590
04 - Mauricie-et-Centre-du-Québec;12 469
05 - Estrie;9 962
06 - Montréal;50 265
07 - Outaouais;8 458
08 - Abitibi-Témiscamingue;5 338
09 - Côte-Nord;6 265
10 - Nord-du-Québec;2 409
11 - Gaspésie – Îles-de-la-Madeleine;5 222
11 - Îles-de-la-Madeleine;1 272
12 - Chaudière-Appalaches;10 841
13 - Laval;9 670
14 - Lanaudière;9 403
15 - Laurentides;12 005
16 - Montérégie;30 867
17 - Nunavik;520
18 - Terres-Cries-de-la-Baie-James;8 176
Opitciwan;590
Wemotaci;361
Manawan;787
Total;218 755
