Groupe d'âge;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
0-4 ans;0;26;* 23,7;9941;9050,3;0;;0;
5-9 ans;< 5;20;* 18,6;15138;14071,4;0;;0;
10-19 ans;5;54;27,1;30881;15524,7;0;;0;
20-29 ans;15;294;90,3;60243;18503,3;0;;5;n.p.
30-39 ans;19;338;103;54862;16715,4;0;;12;* 3,7
40-49 ans;14;285;102,7;47421;17082,8;0;;35;* 12,6
50-59 ans;12;278;108,4;36425;14200,8;0;;151;58,9
60-69 ans;7;210;97,1;21307;9849,1;< 5;n.p.;402;185,8
70-79 ans;6;131;90,7;13021;9010,6;< 5;n.p.;971;671,9
80 ans et +;5;161;160,1;20170;20051,5;< 5;n.p.;3905;3882,1
Manquant;< 5;6;;223;;0;;0;
Total;86;1803;87,3;309632;14989,5;< 5;n.p.;5481;265,3
