,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,20870,26,20831,39,176,0,20453,241,197738.33333,10554.35,121.92,89.01,19,881,0
02,02 - Saguenay-Lac-Saint-Jean,30468,11,30107,361,443,0,29768,257,278600,10936.11,92.25,159.01,21,1622,0
03,03 - Capitale-Nationale,88706,44,88345,361,1559,1,86512,635,761103.66667,11654.92,82.84,204.83,52,4294,0
04,04 - Mauricie et Centre-du-Québec,58994,24,58754,240,1010,0,57639,345,527666.66667,11180.16,65.06,191.41,26,3187,0
05,05 - Estrie,49722,0,49198,524,624,0,48757,341,502406,9896.78,67.13,124.20,29,2761,0
06,06 - Montréal,309632,86,306272,3360,5481,0,302441,1710,2061667.3333,15018.52,82.55,265.85,131,16184,2
07,07 - Outaouais,39886,16,39441,445,316,0,39309,261,405378.66667,9839.20,63.70,77.95,11,1863,0
08,08 - Abitibi-Témiscamingue,11034,4,10993,41,111,0,10810,113,147876.33333,7461.64,76.38,75.06,15,650,0
09,09 - Côte-Nord,8694,7,8668,26,46,0,8486,162,90082.333333,9651.17,180.67,51.06,18,506,0
10,10 - Nord-du-Québec,1514,2,1283,231,4,0,1493,17,13383.666667,11312.30,127.78,29.89,1,52,0
11,11 - Gaspésie-Îles-de-la-Madeleine,9128,9,9091,37,82,0,8929,117,90783.333333,10054.71,128.72,90.32,1,440,1
12,12 - Chaudière-Appalaches,61321,19,61038,283,669,0,60363,289,434525.66667,14112.17,66.20,153.96,25,2550,0
13,13 - Laval,71591,22,69631,1960,1116,0,70168,307,445993.33333,16052.03,68.20,250.23,25,3264,0
14,14 - Lanaudière,69845,18,69129,716,776,0,68818,251,530581,13163.87,46.74,146.25,39,2820,0
15,15 - Laurentides,79606,26,79001,605,765,0,78256,585,640046.66667,12437.53,90.18,119.52,48,3761,0
16,16 - Montérégie,149583,51,147670,1913,2243,0,146211,1129,1452381.3333,10299.15,76.97,154.44,113,8167,1
17,17 - Nunavik,3015,0,3009,6,10,0,2995,10,14619,20623.85,67.24,68.40,1,111,0
18,18 - Terres-Cries-de-la-Baie-James,2954,0,2559,395,17,0,2915,22,18660.333333,15830.37,115.97,91.10,0,101,0
98,Inconnu,0,0,0,0,0,0,0,0,.,.,.,.,0,389,0
99,Hors Québec,2957,3,2949,8,2,0,2935,20,.,.,.,.,3,0,0
999,Ensemble du Québec,1069520,368,1057969,11551,15450,1,1047258,6812,8613493.6667,12416.80,78.50,179.37,578,53603,4

