RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000
01 - Bas-Saint-Laurent,0,0,0,0,0,82,41.67
02 - Saguenay–Lac-Saint-Jean,0,0,0,0,0,4,1.44
03 - Capitale-Nationale,26,0,0,0,26,520,68.41
04 - Mauricie et Centre-du-Québec,1,0,0,0,1,56,10.68
05 - Estrie,9,0,0,0,9,76,15.30
06 - Montréal,461,1,1,2,465,2544,122.40
07 - Outaouais,0,0,0,0,0,349,86.29
08 - Abitibi-Témiscamingue,0,100,0,0,100,177,119.87
09 - Côte-Nord,0,0,0,0,0,0,0.00
10 - Nord-du-Québec,0,0,0,0,0,0,0.00
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,0,0.00
12 - Chaudière-Appalaches,0,0,0,0,0,155,35.89
13 - Laval,30,0,0,0,30,586,131.22
14 - Lanaudière,8,2,0,0,10,202,38.50
15 - Laurentides,33,1,0,0,34,339,53.51
16 - Montérégie,27,2,0,0,29,256,17.73
Inconnu,0,1,0,0,1,208,
Hors Québec,0,0,0,0,0,11,
Ensemble du Québec,595,107,1,2,705,5565,64.77
