Regroupement,Croisement,Nom,cas_tot_n,cas_0cond_n,cas_0cond_p,cas_1cond_n,cas_1cond_p,cas_2cond_n,cas_2cond_p,dec_tot_n,dec_0cond_n,dec_0cond_p,dec_1cond_n,dec_1cond_p,dec_2cond_n,dec_2cond_p
Région,RSS01,01 - Bas-Saint-Laurent,      1615,       922,       57.1,       335,       20.7,       358,       22.2,        30,n.d.,n.d.,n.d.,n.d.,        28,       93.3
Région,RSS02,02 - Saguenay–Lac-Saint-Jean,      8972,      4499,       50.1,      2035,       22.7,      2438,       27.2,       263,        13,        4.9,        20,        7.6,       230,       87.5
Région,RSS03,03 - Capitale-Nationale,     21866,     11978,       54.8,      4236,       19.4,      5652,       25.8,       996,        26,        2.6,        85,        8.5,       885,       88.9
Région,RSS04,04 - Mauricie et Centre-du-Québec,     12482,      6925,       55.5,      2472,       19.8,      3085,       24.7,       505,        15,        3.0,        28,        5.5,       462,       91.5
Région,RSS05,05 - Estrie,     11248,      6403,       56.9,      2211,       19.7,      2634,       23.4,       315,n.d.,n.d.,n.d.,n.d.,       283,       89.8
Région,RSS06,06 - Montréal,     98582,     55334,       56.1,     18076,       18.3,     25172,       25.5,      4505,       134,        3.0,       245,        5.4,      4126,       91.6
Région,RSS07,07 - Outaouais,      6156,      3632,       59.0,      1061,       17.2,      1463,       23.8,       169,n.d.,n.d.,n.d.,n.d.,       152,       89.9
Région,RSS08,08 - Abitibi-Témiscamingue,       880,       512,       58.2,       212,       24.1,       156,       17.7,         7,n.d.,n.d.,n.d.,n.d.,         5,       71.4
Région,RSS09,09 - Côte-Nord,       334,       213,       63.8,        66,       19.8,        55,       16.5,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS10,10 - Nord-du-Québec,        86,        47,       54.7,        15,       17.4,        24,       27.9,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS11,11 - Gaspésie–Îles-de-la-Madeleine,      1702,       843,       49.5,       363,       21.3,       496,       29.1,        45,n.d.,n.d.,n.d.,n.d.,        40,       88.9
Région,RSS12,12 - Chaudière-Appalaches,     11594,      6670,       57.5,      2320,       20.0,      2604,       22.5,       287,         8,        2.8,        25,        8.7,       254,       88.5
Région,RSS13,13 - Laval,     25017,     14934,       59.7,      5057,       20.2,      5026,       20.1,       871,        10,        1.1,        58,        6.7,       803,       92.2
Région,RSS14,14 - Lanaudière,     20709,     12229,       59.1,      4282,       20.7,      4198,       20.3,       496,        20,        4.0,        29,        5.8,       447,       90.1
Région,RSS15,15 - Laurentides,     16859,      9902,       58.7,      3341,       19.8,      3616,       21.4,       476,        21,        4.4,        32,        6.7,       423,       88.9
Région,RSS16,16 - Montérégie,     40983,     22862,       55.8,      8221,       20.1,      9900,       24.2,      1497,        48,        3.2,        95,        6.3,      1354,       90.4
Région,RSS17,17 - Nunavik,        41,        21,       51.2,         5,       12.2,        15,       36.6,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS18,18 - Terres-Cries-de-la-Baie-James,       104,        59,       56.7,        16,       15.4,        29,       27.9,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS997,Total Québec jumelés,    279255,    158006,       56.6,     54326,       19.5,     66923,       24.0,     10468,       308,        2.9,       665,        6.4,      9495,       90.7
Groupe d'âge,0_9,Moins de 10 ans,     21340,     18061,       84.6,      2674,       12.5,       605,        2.8,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,10_19,10-19 ans,     32749,     27083,       82.7,      4749,       14.5,       917,        2.8,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,20_29,20-29 ans,     38799,     31240,       80.5,      5690,       14.7,      1869,        4.8,         6,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,30_39,30-39 ans,     37629,     26120,       69.4,      7953,       21.1,      3556,        9.5,        14,n.d.,n.d.,n.d.,n.d.,        10,       71.4
Groupe d'âge,40_49,40-49 ans,     41852,     25944,       62.0,     10149,       24.2,      5759,       13.8,        36,        10,       27.8,         7,       19.4,        19,       52.8
Groupe d'âge,50_59,50-59 ans,     38264,     18890,       49.4,     10985,       28.7,      8389,       21.9,       175,        28,       16.0,        23,       13.1,       124,       70.9
Groupe d'âge,60_69,60-69 ans,     23860,      7826,       32.8,      6678,       28.0,      9356,       39.2,       611,        45,        7.4,        63,       10.3,       503,       82.3
Groupe d'âge,70_79,70-79 ans,     16154,      1906,       11.8,      2980,       18.4,     11268,       69.8,      1992,        70,        3.5,       165,        8.3,      1757,       88.2
Groupe d'âge,80_89,80-89 ans,     17827,       670,        3.8,      1744,        9.8,     15413,       86.5,      4159,        72,        1.7,       246,        5.9,      3841,       92.4
Groupe d'âge,90_,90 ans et plus,     10781,       266,        2.5,       724,        6.7,      9791,       90.8,      3474,        77,        2.2,       158,        4.5,      3239,       93.2
