Régions sociosanitaires;2021-05-30;2021-05-31;2021-06-01;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;6;3;4;3 910
02 - Saguenay – Lac-Saint-Jean;7;5;17;10 918
03 - Capitale-Nationale;16;9;15;32 602
04 - Mauricie-et-Centre-du-Québec;3;9;9;15 087
05 - Estrie;20;28;16;14 747
06 - Montréal;79;35;99;131 307
07 - Outaouais;16;18;8;12 227
08 - Abitibi-Témiscamingue;0;1;0;1 114
09 - Côte-Nord;0;0;1;572
10 - Nord-du-Québec;0;0;0;109
11 - Gaspésie – Îles-de-la-Madeleine;3;2;0;2 019
12 - Chaudière-Appalaches;31;28;28;18 954
13 - Laval;17;11;20;31 248
14 - Lanaudière;9;14;15;23 805
15 - Laurentides;13;11;26;20 788
16 - Montérégie;56;34;27;50 810
17 - Nunavik;0;0;0;47
18 - Terres-Cries-de-la-Baie-James;0;0;0;119
Hors Québec;0;0;3;429
Région à déterminer;0;0;0;3
Total;276;208;288;370 815
