RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.617,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,165,0,0,0,165,1219,619.43,"56,3","66,7"
02 - Saguenay–Lac-Saint-Jean,60,0,2,0,62,928,334.56,"100,0","98,2"
03 - Capitale-Nationale,622,3,8,0,633,7906,"1,040.06","98,0","86,7"
04 - Mauricie et Centre-du-Québec,94,0,0,1,95,1331,253.85,"80,4","78,0"
05 - Estrie,92,0,15,1,108,2310,465.00,"98,8","94,4"
06 - Montréal,3219,107,181,16,3523,13599,654.28,"88,3","89,8"
07 - Outaouais,448,16,33,0,497,3727,921.48,"100,0","95,6"
08 - Abitibi-Témiscamingue,0,177,0,0,177,245,165.92,"100,0","100,0"
09 - Côte-Nord,6,0,0,0,6,149,166.73,.,.
10 - Nord-du-Québec,0,1,0,0,1,16,118.65,.,.
11 - Gaspésie–Îles-de-la-Madeleine,7,0,0,0,7,173,192.98,"76,9","100,0"
12 - Chaudière-Appalaches,439,2,11,0,452,3336,772.38,"91,0","80,2"
13 - Laval,412,13,18,1,444,3099,693.95,"97,1","92,2"
14 - Lanaudière,271,28,11,0,310,1633,311.26,"90,2","94,5"
15 - Laurentides,427,14,47,0,488,2431,383.74,"89,0","87,6"
16 - Montérégie,312,15,116,7,450,4174,289.12,"91,3","86,5"
Inconnu,0,1,0,0,1,718,,"66,7","50,0"
Hors Québec,47,9,2,2,60,88,,"60,0","66,7"
Ensemble du Québec,6621,386,444,28,7479,47082,547.98,"91,3","89,2"
