,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,3910,4,3884,26,50,1,3797,63,196934.5,1985.43,32.01,25.39
02,02 - Saguenay-Lac-Saint-Jean,10918,17,10697,221,269,0,10561,88,277505,3934.34,31.73,96.94
03,03 - Capitale-Nationale,32602,15,32250,352,1107,0,31316,179,757803,4302.17,23.55,146.08
04,04 - Mauricie et Centre-du-Québec,15087,9,14848,239,518,1,14485,84,523331.5,2882.88,16.02,98.98
05,05 - Estrie,14747,16,14229,518,348,0,14141,258,494966.5,2979.39,51.94,70.31
06,06 - Montréal,131307,99,128382,2925,4742,1,125199,1366,2072060.5,6337.03,65.72,228.85
07,07 - Outaouais,12227,8,11780,447,214,0,11845,168,402744,3035.92,41.54,53.14
08,08 - Abitibi-Témiscamingue,1114,0,1081,33,9,0,1102,3,147637,754.55,2.03,6.10
09,09 - Côte-Nord,572,1,553,19,3,0,565,4,89700.5,637.68,4.48,3.34
10,10 - Nord-du-Québec,109,0,107,2,0,0,108,1,13521.5,806.12,7.42,0.00
11,11 - Gaspésie-Îles-de-la-Madeleine,2019,0,1999,20,45,0,1950,24,89823,2247.75,26.77,50.10
12,12 - Chaudière-Appalaches,18954,28,18674,280,352,1,18337,265,431109.5,4396.56,61.36,81.65
13,13 - Laval,31248,20,29441,1807,911,0,30126,211,444658.5,7027.42,47.25,204.88
14,14 - Lanaudière,23805,15,23094,711,515,0,23131,159,522367,4557.14,30.31,98.59
15,15 - Laurentides,20788,26,20184,604,505,1,20139,144,630238,3298.44,22.73,80.13
16,16 - Montérégie,50810,27,48858,1952,1547,0,48814,449,1438226,3532.82,31.10,107.56
17,17 - Nunavik,47,0,45,2,0,0,47,0,14336.5,327.83,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,119,0,119,0,3,0,116,0,18507,643.00,0.00,16.21
98,Inconnu,3,0,3,0,0,0,3,0,.,.,.,.
99,Hors Québec,429,3,424,5,0,0,420,9,.,.,.,.
999,Ensemble du Québec,370815,288,360652,10163,11138,5,356202,3475,8565469.5,4329.18,40.45,130.03

