,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,14759,32,14720,39,102,0,13754,903,197738.33333,7463.90,456.84,51.58,0
02,02 - Saguenay-Lac-Saint-Jean,24126,22,23767,359,352,1,23147,627,278600,8659.73,225.06,126.35,3
03,03 - Capitale-Nationale,73464,88,73099,365,1379,0,70121,1964,761103.66667,9652.30,256.20,181.18,3
04,04 - Mauricie et Centre-du-Québec,48286,44,48046,240,852,0,46302,1132,527666.66667,9150.85,213.47,161.47,7
05,05 - Estrie,41656,36,41131,525,537,1,40628,491,502406,8291.30,96.66,106.89,15
06,06 - Montréal,280756,87,277397,3359,5311,1,272837,2608,2061667.3333,13617.91,125.90,257.61,15
07,07 - Outaouais,35291,22,34846,445,287,0,34499,505,405378.66667,8705.69,123.25,70.80,1
08,08 - Abitibi-Témiscamingue,7459,18,7420,39,65,1,7126,268,147876.33333,5044.08,181.15,43.96,7
09,09 - Côte-Nord,5294,17,5267,27,30,3,4816,448,90082.333333,5876.85,499.62,33.30,0
10,10 - Nord-du-Québec,1001,0,815,186,2,0,983,16,13383.666667,7479.27,120.26,14.94,2
11,11 - Gaspésie-Îles-de-la-Madeleine,5363,4,5327,36,54,0,5058,251,90783.333333,5907.47,276.14,59.48,1
12,12 - Chaudière-Appalaches,51960,69,51678,282,533,2,50246,1181,434525.66667,11957.87,270.52,122.66,1
13,13 - Laval,65816,29,63854,1962,1044,1,64233,539,445993.33333,14757.17,119.75,234.08,7
14,14 - Lanaudière,62367,46,61651,716,718,0,60919,730,530581,11754.47,135.94,135.32,-5
15,15 - Laurentides,68967,59,68360,607,696,0,67059,1212,640046.66667,10775.31,186.83,108.74,6
16,16 - Montérégie,128698,114,126793,1905,2010,4,124861,1827,1452381.3333,8861.17,124.56,138.39,2
17,17 - Nunavik,2693,7,2689,4,10,0,2620,63,14619,18421.23,423.64,68.40,0
18,18 - Terres-Cries-de-la-Baie-James,2127,2,1899,228,12,0,2061,54,18660.333333,11398.51,284.64,64.31,1
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,2592,2,2584,8,2,0,2571,19,.,.,.,.,-1
999,Ensemble du Québec,922679,698,911346,11333,13996,14,893845,14838,8613493.6667,10712.02,171.00,162.49,65

