RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours)
01 - Bas-Saint-Laurent,67,0,0,0,67,786,399.40,100
02 - Saguenay–Lac-Saint-Jean,0,0,1,0,1,270,97.34,65.3
03 - Capitale-Nationale,231,2,0,6,239,6157,809.97,98.6
04 - Mauricie et Centre-du-Québec,11,0,0,0,11,582,111.00,84.7
05 - Estrie,49,0,1,0,50,656,132.05,74.3
06 - Montréal,1949,22,14,9,1994,7558,363.63,72.4
07 - Outaouais,224,2,1,5,232,2582,638.39,89.2
08 - Abitibi-Témiscamingue,0,141,0,0,141,227,153.73,35.7
09 - Côte-Nord,0,0,0,0,0,57,63.78,92.3
10 - Nord-du-Québec,0,0,0,0,0,0,0.00,.
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,48,53.54,100
12 - Chaudière-Appalaches,127,0,0,0,127,1293,299.37,90.4
13 - Laval,213,3,0,5,221,1756,393.22,80.3
14 - Lanaudière,146,5,1,6,158,847,161.44,66.5
15 - Laurentides,185,6,3,1,195,1346,212.47,82.5
16 - Montérégie,115,3,3,0,121,1980,137.15,75.8
Inconnu,0,1,0,0,1,910,,74.4
Hors Québec,14,1,0,1,16,46,,92.3
Ensemble du Québec,3331,186,24,33,3574,27101,315.43,81.4
