"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;70177
02 - Saguenay - Lac-Saint-Jean;96586
03 - Capitale-Nationale;257932
04 - Mauricie et Centre-du-Québec;169807
05 - Estrie;153460
06 - Montréal;736123
07 - Outaouais;125085
08 - Abitibi-Témiscamingue;42995
09 - Côte-Nord;41820
10 - Nord-du-Québec;9967
11 - Gaspésie - Îles-de-la-Madeleine;44725
12 - Chaudière-Appalaches;143395
13 - Laval;135343
14 - Lanaudière;159078
15 - Laurentides;188414
16 - Montérégie;425092
17 - Nunavik;7975
18 - Terres-Cries-de-la-Baie-James;17824
Inconnue;2686
Total;2828484
