Régions;Nombre de doses de vaccins administrées
01-   Bas-Saint-Laurent;4979
02 - Saguenay – Lac-Saint-Jean;7902
03 - Capitale-Nationale;23090
04 - Mauricie-et-Centre-du-Québec;12529
05 - Estrie;10462
06 - Montréal;52879
07 - Outaouais;8458
08 - Abitibi-Témiscamingue;5433
09 - Côte-Nord;6756
10 - Nord-du-Québec;4399
11 - Gaspésie – Îles-de-la-Madeleine;5081
11 - Îles-de-la-Madeleine;1272
12 - Chaudière-Appalaches;10841
13 - Laval;9691
14 - Lanaudière;10343
15 - Laurentides;12055
16 - Montérégie;31941
17 - Nunavik;568
18 - Terres-Cries-de-la-Baie-James;8783
Opitciwan;590
Wemotaci;380
Manawan;787
Total;229 219
