No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,13,193,8,26,0,243,1.4 %
02,02 - Saguenay-Lac-Saint-Jean,0,177,214,13,165,12,581,3.2 %
03,03 - Capitale-Nationale,9,696,523,42,516,43,1829,10.2 %
04,04 - Mauricie et Centre-du-Québec,4,158,943,23,114,5,1247,6.9 %
05,05 - Estrie,4,213,327,29,221,17,811,4.5 %
06,06 - Montréal,220,2910,1629,163,862,83,5867,32.6 %
07,07 - Outaouais,11,109,174,18,77,9,398,2.2 %
08,08 - Abitibi-Témiscamingue,3,42,69,6,20,1,141,0.8 %
09,09 - Côte-Nord,0,0,61,0,1,0,62,0.3 %
10,10 - Nord-du-Québec,0,0,8,0,0,0,8,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,16,70,0,13,0,99,0.6 %
12,12 - Chaudière-Appalaches,6,200,352,11,213,7,789,4.4 %
13,13 - Laval,6,585,356,66,243,14,1270,7.1 %
14,14 - Lanaudière,3,356,341,26,194,6,926,5.1 %
15,15 - Laurentides,64,296,409,70,139,14,992,5.5 %
16,16 - Montérégie,16,743,1194,81,653,13,2700,15.0 %
17,17 - Nunavik,0,0,11,0,0,0,11,0.1 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,20,0,0,1,21,0.1 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,2,0,0,0,2,0.0 %
999,Ensemble du Québec (n),349,6514,6896,556,3457,225,17997,
9999,Ensemble du Québec (%),1.9 %,36.2 %,38.3 %,3.1 %,19.2 %,1.3 %,.,100.0 %

