,,Nombre de cas confirmé,,,Nombre de décès,,,,,,Nombre d'hospitalisations,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,Nombre dans la dernière semaine CDC fermée,Total,Confirmé dans les 24 dernières heures,Nombre dans la dernière semaine CDC fermée,Population en 2023,Cas de COVID-19 par 100 000,Décès par COVID-19 par 100 000,Total,Différence dans les 24 dernières heures,Nombre dans la dernière semaine CDC fermée
01,01 - Bas-Saint-Laurent,28968,11,92,243,0,1,199471.5,.,.,1801,2,12
02,02 - Saguenay-Lac-Saint-Jean,39887,11,37,581,0,4,280734.5,.,.,2654,3,3
03,03 - Capitale-Nationale,112154,89,307,1829,1,0,765935.75,.,.,7145,17,40
04,04 - Mauricie et Centre-du-Québec,75436,47,218,1247,0,2,535227.5,.,.,5661,10,45
05,05 - Estrie,64666,34,157,811,0,0,510448.25,.,.,4574,15,24
06,06 - Montréal,356324,121,512,5867,0,2,2044355.75,.,.,22463,24,91
07,07 - Outaouais,45024,19,82,398,0,0,407054,.,.,2908,1,16
08,08 - Abitibi-Témiscamingue,14335,9,33,141,0,0,148400.5,.,.,1255,2,9
09,09 - Côte-Nord,13085,8,30,62,0,0,90467.75,.,.,1020,2,9
10,10 - Nord-du-Québec,1911,2,4,8,0,0,13363.5,.,.,95,0,0
11,11 - Gaspésie-Îles-de-la-Madeleine,13148,13,34,99,0,0,92140.75,.,.,866,0,5
12,12 - Chaudière-Appalaches,75803,27,121,789,1,3,439816.25,.,.,4256,6,17
13,13 - Laval,82317,44,118,1270,0,7,446209,.,.,4775,6,24
14,14 - Lanaudière,83842,31,138,926,0,3,538927.25,.,.,4460,0,30
15,15 - Laurentides,98693,51,200,992,1,2,652170,.,.,6455,13,36
16,16 - Montérégie,185809,92,426,2700,1,7,1464216,.,.,13573,9,83
17,17 - Nunavik,3607,0,0,11,0,0,14677,.,.,160,1,0
18,18 - Terres-Cries-de-la-Baie-James,3017,2,9,21,0,0,18814.75,.,.,161,1,0
98,Inconnu,1236,1,3,0,0,0,.,.,.,547,0,-1
99,Hors Québec,7312,0,4,2,0,0,.,.,.,0,0,0
999,Ensemble du Québec,1306574,612,2525,17997,4,31,8662430,.,.,84829,112,443

