,,Nombre de cas confirmé,,,Nombre de décès,,,,,,Nombre d'hospitalisations,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,Nombre dans la dernière semaine CDC fermée,Total,Confirmé dans les 24 dernières heures,Nombre dans la dernière semaine CDC fermée,Population en 2023,Cas de COVID-19 par 100 000,Décès par COVID-19 par 100 000,Total,Différence dans les 24 dernières heures,Nombre dans la dernière semaine CDC fermée
01,01 - Bas-Saint-Laurent,29478,16,86,250,0,2,199471.5,.,.,1895,4,18
02,02 - Saguenay-Lac-Saint-Jean,40346,16,92,586,0,1,280734.5,.,.,2759,12,32
03,03 - Capitale-Nationale,114354,51,348,1873,3,13,765935.75,.,.,7341,6,66
04,04 - Mauricie et Centre-du-Québec,76714,39,231,1253,0,0,535227.5,.,.,5804,5,35
05,05 - Estrie,65374,14,133,817,0,2,510448.25,.,.,4674,8,25
06,06 - Montréal,359287,77,508,5901,1,4,2044355.75,.,.,22929,17,130
07,07 - Outaouais,45436,8,72,416,0,5,407054,.,.,3003,2,15
08,08 - Abitibi-Témiscamingue,14556,7,39,142,0,0,148400.5,.,.,1321,2,5
09,09 - Côte-Nord,13407,8,60,63,0,0,90467.75,.,.,1094,2,10
10,10 - Nord-du-Québec,1935,1,7,8,0,0,13363.5,.,.,102,0,1
11,11 - Gaspésie-Îles-de-la-Madeleine,13392,6,62,99,0,0,92140.75,.,.,913,2,10
12,12 - Chaudière-Appalaches,76897,34,206,801,0,4,439816.25,.,.,4460,11,45
13,13 - Laval,83121,19,148,1296,0,15,446209,.,.,4914,0,35
14,14 - Lanaudière,84662,35,170,936,1,3,538927.25,.,.,4584,4,32
15,15 - Laurentides,99948,38,192,1019,0,6,652170,.,.,6624,3,40
16,16 - Montérégie,188442,89,521,2722,1,4,1464216,.,.,14056,7,123
17,17 - Nunavik,3619,0,2,11,0,0,14677,.,.,175,0,1
18,18 - Terres-Cries-de-la-Baie-James,3070,1,12,20,0,0,18814.75,.,.,166,0,1
98,Inconnu,1253,1,9,0,0,0,.,.,.,573,0,7
99,Hors Québec,7333,1,2,2,0,0,.,.,.,0,0,0
999,Ensemble du Québec,1322624,461,2900,18215,6,59,8662430,.,.,87387,85,631

