Régions sociosanitaires;2021-06-06;2021-06-07;2021-06-08;2021-06-09;2021-06-10;2021-06-11;2021-06-12;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;3;4;4;1;6;1;0;3 943
02 - Saguenay – Lac-Saint-Jean;10;5;5;5;2;2;0;10 998
03 - Capitale-Nationale;6;6;16;5;7;6;4;32 697
04 - Mauricie-et-Centre-du-Québec;10;4;6;8;0;4;3;15 155
05 - Estrie;15;1;2;10;11;3;2;14 835
06 - Montréal;66;49;61;52;66;60;62;132 035
07 - Outaouais;16;17;7;21;12;23;5;12 368
08 - Abitibi-Témiscamingue;9;1;1;1;1;1;2;1 137
09 - Côte-Nord;0;0;0;0;0;0;0;572
10 - Nord-du-Québec;0;0;0;0;0;0;0;109
11 - Gaspésie – Îles-de-la-Madeleine;3;2;5;4;3;7;5;2 050
12 - Chaudière-Appalaches;11;16;21;19;20;12;17;19 187
13 - Laval;9;5;10;13;18;18;9;31 396
14 - Lanaudière;4;10;9;7;11;15;12;23 900
15 - Laurentides;5;10;11;11;7;6;4;20 888
16 - Montérégie;26;17;20;32;16;24;25;51 100
17 - Nunavik;0;0;0;0;0;0;0;47
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;0;0;0;119
Hors Québec;0;3;0;0;0;0;1;450
Région à déterminer;0;0;0;0;0;0;0;3
Total;193;150;178;189;180;182;151;372 989
