"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;23784
02 - Saguenay - Lac-Saint-Jean;35956
03 - Capitale-Nationale;107274
04 - Mauricie et Centre-du-Québec;71170
05 - Estrie;59168
06 - Montréal;443668
07 - Outaouais;46340
08 - Abitibi-Témiscamingue;21524
09 - Côte-Nord;27988
10 - Nord-du-Québec;8947
11 - Gaspésie - Îles-de-la-Madeleine;24101
12 - Chaudière-Appalaches;56469
13 - Laval;69764
14 - Lanaudière;72224
15 - Laurentides;79625
16 - Montérégie;183534
17 - Nunavik;5435
18 - Terres-Cries-de-la-Baie-James;10633
Inconnue;1722
Total;1349326
