RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000
01 - Bas-Saint-Laurent,0,0,0,0,0,217,110.27
02 - Saguenay–Lac-Saint-Jean,0,0,0,0,0,11,3.97
03 - Capitale-Nationale,44,1,0,0,45,954,125.50
04 - Mauricie et Centre-du-Québec,4,0,0,0,4,68,12.97
05 - Estrie,12,0,0,0,12,101,20.33
06 - Montréal,727,6,1,5,739,3008,144.72
07 - Outaouais,11,0,0,0,11,467,115.46
08 - Abitibi-Témiscamingue,0,115,0,0,115,178,120.55
09 - Côte-Nord,0,0,0,0,0,0,0.00
10 - Nord-du-Québec,0,0,0,0,0,0,0.00
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,0,0.00
12 - Chaudière-Appalaches,2,0,0,0,2,260,60.20
13 - Laval,55,0,0,1,56,694,155.41
14 - Lanaudière,23,5,0,0,28,276,52.61
15 - Laurentides,70,4,1,0,75,417,65.82
16 - Montérégie,36,3,0,0,39,532,36.85
Inconnu,0,1,0,0,1,281,
Hors Québec,6,0,0,1,7,11,
Ensemble du Québec,990,135,2,7,1134,7475,87.00
