,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,843,27,830,13,19,0,660,164,197074,427.76,83.22,9.64
02,02 - Saguenay–Lac-Saint-Jean,5286,78,5130,156,130,3,4117,1039,277632,1903.96,374.24,46.82
03,03 - Capitale-Nationale,11897,119,11644,253,446,10,10026,1425,755459,1574.80,188.63,59.04
04,04 - Mauricie et Centre-du-Québec,7032,65,6827,205,273,0,5868,891,522341,1346.25,170.58,52.26
05,05 - Estrie,4746,62,4435,311,64,0,3994,688,493163,962.36,139.51,12.98
06,06 - Montréal,51462,306,48701,2761,3628,7,44543,3291,2065657,2491.31,159.32,175.63
07,07 - Outaouais,3580,15,3303,277,81,1,3219,280,401032,892.70,69.82,20.20
08,08 - Abitibi-Témiscamingue,269,1,237,32,4,0,254,11,147616,182.23,7.45,2.71
09,09 - Côte-Nord,209,-1,197,12,2,0,191,16,90033,232.14,17.77,2.22
10,10 - Nord-du-Québec,54,0,52,2,0,0,51,3,13558,398.29,22.13,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1375,3,1356,19,40,0,1273,62,89998,1527.81,68.89,44.45
12,12 - Chaudière-Appalaches,5399,59,5161,238,134,1,4808,457,430309,1254.68,106.20,31.14
13,13 - Laval,11584,120,10380,1204,726,1,10102,756,442745,2616.40,170.75,163.98
14,14 - Lanaudière,11367,89,10667,700,330,3,9862,1175,520092,2185.57,225.92,63.45
15,15 - Laurentides,7984,35,7389,595,336,0,7281,367,626968,1273.43,58.54,53.59
16,16 - Montérégie,20298,196,19075,1223,870,2,17805,1623,1432751,1416.72,113.28,60.72
17,17 - Nunavik,28,0,26,2,0,0,28,0,14260,196.35,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,16,0,16,0,1,0,15,0,18385,87.03,0.00,5.44
98,Inconnu,3,0,3,0,0,0,3,0,           .,         .  ,         .  ,         .  
99,Hors Québec,116,3,114,2,0,0,100,16,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,143548,1177,135543,8005,7084,28,124200,12264,8539073,1681.07,143.62,82.96
